individual,mode,activity,alternative,choice,ASC,var11,var21,var31,var12,var22,var32,var13,var23,var33,var14,var24,var34,var1_1,var1_2,var1_3,var2_1,var2_2,var2_3,var3_1,var3_2,var3_3
2,IPT,NICT,IPT_NICT,0,0,0,0,0,5.865375051,5.642121004,5.244548991,0,0,0,0,0,0,0,0,0,3.702424529,4.305278119,4.355165834,0,0,0
2,IPT,NA1,IPT_NA1,0,0,0,0,0,5.865375051,5.642121004,5.244548991,0,0,0,0,0,0,0,0,0,0,0,0,4.040124312,5.245670728,3.151481128
2,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,6.412431406,4.294991582,7.506123718,0,0,0,6.301912411,2.391115973,2.10244342,0,0,0,0,0,0
2,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,6.412431406,4.294991582,7.506123718,0,0,0,0,0,0,3.702424529,4.305278119,4.355165834,0,0,0
2,PV,NA1,PV_NA1,1,0,0,0,0,0,0,0,6.412431406,4.294991582,7.506123718,0,0,0,0,0,0,0,0,0,4.040124312,5.245670728,3.151481128
2,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,5.373525216,4.580207681,5.425529722,6.301912411,2.391115973,2.10244342,0,0,0,0,0,0
2,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,5.373525216,4.580207681,5.425529722,0,0,0,3.702424529,4.305278119,4.355165834,0,0,0
2,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,5.373525216,4.580207681,5.425529722,0,0,0,0,0,0,4.040124312,5.245670728,3.151481128
3,NMT,ICT,NMT_ICT,0,0,7.523029856,5.837391412,5.053752726,0,0,0,0,0,0,0,0,0,6.856184952,-0.117468658,-2.127540508,0,0,0,0,0,0
3,NMT,NICT,NMT_NICT,0,0,7.523029856,5.837391412,5.053752726,0,0,0,0,0,0,0,0,0,0,0,0,5.697277079,5.243392182,4.475124446,0,0,0
3,NMT,NA1,NMT_NA1,1,0,7.523029856,5.837391412,5.053752726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.914938472,7.118391284,6.242607853
3,IPT,ICT,IPT_ICT,0,0,0,0,0,5.747059886,4.240348239,1.65502773,0,0,0,0,0,0,6.856184952,-0.117468658,-2.127540508,0,0,0,0,0,0
3,IPT,NICT,IPT_NICT,0,0,0,0,0,5.747059886,4.240348239,1.65502773,0,0,0,0,0,0,0,0,0,5.697277079,5.243392182,4.475124446,0,0,0
3,IPT,NA1,IPT_NA1,0,0,0,0,0,5.747059886,4.240348239,1.65502773,0,0,0,0,0,0,0,0,0,0,0,0,4.914938472,7.118391284,6.242607853
3,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,5.358895876,1.713979873,-2.671021992,0,0,0,6.856184952,-0.117468658,-2.127540508,0,0,0,0,0,0
3,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,5.358895876,1.713979873,-2.671021992,0,0,0,0,0,0,5.697277079,5.243392182,4.475124446,0,0,0
3,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,5.358895876,1.713979873,-2.671021992,0,0,0,0,0,0,0,0,0,4.914938472,7.118391284,6.242607853
3,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,3.525751888,3.875029363,-0.607188605,6.856184952,-0.117468658,-2.127540508,0,0,0,0,0,0
3,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,3.525751888,3.875029363,-0.607188605,0,0,0,5.697277079,5.243392182,4.475124446,0,0,0
3,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,3.525751888,3.875029363,-0.607188605,0,0,0,0,0,0,4.914938472,7.118391284,6.242607853
4,NMT,ICT,NMT_ICT,0,0,5.765846625,7.792016767,6.69675266,0,0,0,0,0,0,0,0,0,7.702612428,2.550233229,4.814413271,0,0,0,0,0,0
4,NMT,NICT,NMT_NICT,0,0,5.765846625,7.792016767,6.69675266,0,0,0,0,0,0,0,0,0,0,0,0,5.368378202,0.642769837,2.744501916,0,0,0
4,NMT,NA1,NMT_NA1,1,0,5.765846625,7.792016767,6.69675266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.310353192,11.7868015,0.543879762
4,IPT,ICT,IPT_ICT,0,0,0,0,0,7.817592298,3.976265555,3.488306128,0,0,0,0,0,0,7.702612428,2.550233229,4.814413271,0,0,0,0,0,0
4,IPT,NICT,IPT_NICT,0,0,0,0,0,7.817592298,3.976265555,3.488306128,0,0,0,0,0,0,0,0,0,5.368378202,0.642769837,2.744501916,0,0,0
4,IPT,NA1,IPT_NA1,0,0,0,0,0,7.817592298,3.976265555,3.488306128,0,0,0,0,0,0,0,0,0,0,0,0,4.310353192,11.7868015,0.543879762
4,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,6.36669527,-0.382305956,4.264247432,0,0,0,7.702612428,2.550233229,4.814413271,0,0,0,0,0,0
4,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,6.36669527,-0.382305956,4.264247432,0,0,0,0,0,0,5.368378202,0.642769837,2.744501916,0,0,0
4,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,6.36669527,-0.382305956,4.264247432,0,0,0,0,0,0,0,0,0,4.310353192,11.7868015,0.543879762
4,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,3.572862128,3.165571532,2.864775185,7.702612428,2.550233229,4.814413271,0,0,0,0,0,0
4,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,3.572862128,3.165571532,2.864775185,0,0,0,5.368378202,0.642769837,2.744501916,0,0,0
4,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,3.572862128,3.165571532,2.864775185,0,0,0,0,0,0,4.310353192,11.7868015,0.543879762
5,NMT,ICT,NMT_ICT,0,0,5.765863043,5.073933214,3.914121257,0,0,0,0,0,0,0,0,0,6.652541486,2.066386969,-0.025040325,0,0,0,0,0,0
5,NMT,NICT,NMT_NICT,1,0,5.765863043,5.073933214,3.914121257,0,0,0,0,0,0,0,0,0,0,0,0,4.455908793,-2.443663505,4.849250414,0,0,0
5,NMT,NA1,NMT_NA1,0,0,5.765863043,5.073933214,3.914121257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.595324819,-1.773160184,5.53908902
5,IPT,ICT,IPT_ICT,0,0,0,0,0,7.42773751,6.017174214,3.612882726,0,0,0,0,0,0,6.652541486,2.066386969,-0.025040325,0,0,0,0,0,0
5,IPT,NICT,IPT_NICT,0,0,0,0,0,7.42773751,6.017174214,3.612882726,0,0,0,0,0,0,0,0,0,4.455908793,-2.443663505,4.849250414,0,0,0
5,IPT,NA1,IPT_NA1,0,0,0,0,0,7.42773751,6.017174214,3.612882726,0,0,0,0,0,0,0,0,0,0,0,0,1.595324819,-1.773160184,5.53908902
5,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,4.091377574,-2.817099341,2.413458152,0,0,0,6.652541486,2.066386969,-0.025040325,0,0,0,0,0,0
5,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,4.091377574,-2.817099341,2.413458152,0,0,0,0,0,0,4.455908793,-2.443663505,4.849250414,0,0,0
5,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,4.091377574,-2.817099341,2.413458152,0,0,0,0,0,0,0,0,0,1.595324819,-1.773160184,5.53908902
5,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,6.223545834,4.042479973,-1.944733184,6.652541486,2.066386969,-0.025040325,0,0,0,0,0,0
5,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,6.223545834,4.042479973,-1.944733184,0,0,0,4.455908793,-2.443663505,4.849250414,0,0,0
5,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,6.223545834,4.042479973,-1.944733184,0,0,0,0,0,0,1.595324819,-1.773160184,5.53908902
6,NMT,ICT,NMT_ICT,0,0,7.579212816,7.090066964,-3.779589292,0,0,0,0,0,0,0,0,0,6.816779358,-2.136169961,9.664784887,0,0,0,0,0,0
6,NMT,NICT,NMT_NICT,0,0,7.579212816,7.090066964,-3.779589292,0,0,0,0,0,0,0,0,0,0,0,0,4.314681155,-2.975969865,5.360698693,0,0,0
6,NMT,NA1,NMT_NA1,0,0,7.579212816,7.090066964,-3.779589292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61148992,2.657896354,6.008074206
6,IPT,ICT,IPT_ICT,0,0,0,0,0,7.461876779,4.009139246,3.663689955,0,0,0,0,0,0,6.816779358,-2.136169961,9.664784887,0,0,0,0,0,0
6,IPT,NICT,IPT_NICT,0,0,0,0,0,7.461876779,4.009139246,3.663689955,0,0,0,0,0,0,0,0,0,4.314681155,-2.975969865,5.360698693,0,0,0
6,IPT,NA1,IPT_NA1,1,0,0,0,0,7.461876779,4.009139246,3.663689955,0,0,0,0,0,0,0,0,0,0,0,0,3.61148992,2.657896354,6.008074206
6,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,4.258060915,4.966474315,-6.915501138,0,0,0,6.816779358,-2.136169961,9.664784887,0,0,0,0,0,0
6,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,4.258060915,4.966474315,-6.915501138,0,0,0,0,0,0,4.314681155,-2.975969865,5.360698693,0,0,0
6,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,4.258060915,4.966474315,-6.915501138,0,0,0,0,0,0,0,0,0,3.61148992,2.657896354,6.008074206
6,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,5.935109767,3.707209769,-0.173122634,6.816779358,-2.136169961,9.664784887,0,0,0,0,0,0
6,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,5.935109767,3.707209769,-0.173122634,0,0,0,4.314681155,-2.975969865,5.360698693,0,0,0
6,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,5.935109767,3.707209769,-0.173122634,0,0,0,0,0,0,3.61148992,2.657896354,6.008074206
7,NMT,ICT,NMT_ICT,0,0,6.767434729,7.175979172,-0.415943437,0,0,0,0,0,0,0,0,0,6.01392846,6.911681401,2.589457543,0,0,0,0,0,0
7,NMT,NICT,NMT_NICT,0,0,6.767434729,7.175979172,-0.415943437,0,0,0,0,0,0,0,0,0,0,0,0,5.512916341,3.525305788,3.575218652,0,0,0
7,NMT,NA1,NMT_NA1,0,0,6.767434729,7.175979172,-0.415943437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.052393602,6.61823015,-2.130463893
7,IPT,ICT,IPT_ICT,0,0,0,0,0,5.585581443,4.393336059,3.826513409,0,0,0,0,0,0,6.01392846,6.911681401,2.589457543,0,0,0,0,0,0
7,IPT,NICT,IPT_NICT,0,0,0,0,0,5.585581443,4.393336059,3.826513409,0,0,0,0,0,0,0,0,0,5.512916341,3.525305788,3.575218652,0,0,0
7,IPT,NA1,IPT_NA1,0,0,0,0,0,5.585581443,4.393336059,3.826513409,0,0,0,0,0,0,0,0,0,0,0,0,4.052393602,6.61823015,-2.130463893
7,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,4.079879144,-4.677095422,-1.278233154,0,0,0,6.01392846,6.911681401,2.589457543,0,0,0,0,0,0
7,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,4.079879144,-4.677095422,-1.278233154,0,0,0,0,0,0,5.512916341,3.525305788,3.575218652,0,0,0
7,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,4.079879144,-4.677095422,-1.278233154,0,0,0,0,0,0,0,0,0,4.052393602,6.61823015,-2.130463893
7,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,3.470537153,2.257606833,1.477660735,6.01392846,6.911681401,2.589457543,0,0,0,0,0,0
7,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,3.470537153,2.257606833,1.477660735,0,0,0,5.512916341,3.525305788,3.575218652,0,0,0
7,BUS,NA1,BUS_NA1,1,0,0,0,0,0,0,0,0,0,0,3.470537153,2.257606833,1.477660735,0,0,0,0,0,0,4.052393602,6.61823015,-2.130463893
8,NMT,ICT,NMT_ICT,0,0,5.530525614,7.509135732,12.85447911,0,0,0,0,0,0,0,0,0,6.788364337,0.114738216,7.146707938,0,0,0,0,0,0
8,NMT,NICT,NMT_NICT,0,0,5.530525614,7.509135732,12.85447911,0,0,0,0,0,0,0,0,0,0,0,0,5.508530096,2.634744282,4.445487595,0,0,0
8,NMT,NA1,NMT_NA1,1,0,5.530525614,7.509135732,12.85447911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.213224104,10.82871933,2.002951896
8,IPT,ICT,IPT_ICT,0,0,0,0,0,5.429887974,5.887308962,5.447134798,0,0,0,0,0,0,6.788364337,0.114738216,7.146707938,0,0,0,0,0,0
8,IPT,NICT,IPT_NICT,0,0,0,0,0,5.429887974,5.887308962,5.447134798,0,0,0,0,0,0,0,0,0,5.508530096,2.634744282,4.445487595,0,0,0
8,IPT,NA1,IPT_NA1,0,0,0,0,0,5.429887974,5.887308962,5.447134798,0,0,0,0,0,0,0,0,0,0,0,0,2.213224104,10.82871933,2.002951896
8,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,7.09565935,-2.525897433,2.050525296,0,0,0,6.788364337,0.114738216,7.146707938,0,0,0,0,0,0
8,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,7.09565935,-2.525897433,2.050525296,0,0,0,0,0,0,5.508530096,2.634744282,4.445487595,0,0,0
8,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,7.09565935,-2.525897433,2.050525296,0,0,0,0,0,0,0,0,0,2.213224104,10.82871933,2.002951896
8,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,2.406947578,4.088184719,5.432082752,6.788364337,0.114738216,7.146707938,0,0,0,0,0,0
8,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,2.406947578,4.088184719,5.432082752,0,0,0,5.508530096,2.634744282,4.445487595,0,0,0
8,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,2.406947578,4.088184719,5.432082752,0,0,0,0,0,0,2.213224104,10.82871933,2.002951896
9,NMT,ICT,NMT_ICT,0,0,6.542560044,7.923317932,0.03790539,0,0,0,0,0,0,0,0,0,6.883292368,5.314939541,5.145109301,0,0,0,0,0,0
9,NMT,NICT,NMT_NICT,0,0,6.542560044,7.923317932,0.03790539,0,0,0,0,0,0,0,0,0,0,0,0,3.500163142,-1.969130308,4.124390545,0,0,0
9,NMT,NA1,NMT_NA1,0,0,6.542560044,7.923317932,0.03790539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.969134841,6.568434352,-2.190098513
9,IPT,ICT,IPT_ICT,0,0,0,0,0,5.078088649,5.034741234,4.673458876,0,0,0,0,0,0,6.883292368,5.314939541,5.145109301,0,0,0,0,0,0
9,IPT,NICT,IPT_NICT,0,0,0,0,0,5.078088649,5.034741234,4.673458876,0,0,0,0,0,0,0,0,0,3.500163142,-1.969130308,4.124390545,0,0,0
9,IPT,NA1,IPT_NA1,0,0,0,0,0,5.078088649,5.034741234,4.673458876,0,0,0,0,0,0,0,0,0,0,0,0,4.969134841,6.568434352,-2.190098513
9,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,6.800464588,3.513824879,12.82196832,0,0,0,6.883292368,5.314939541,5.145109301,0,0,0,0,0,0
9,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,6.800464588,3.513824879,12.82196832,0,0,0,0,0,0,3.500163142,-1.969130308,4.124390545,0,0,0
9,PV,NA1,PV_NA1,1,0,0,0,0,0,0,0,6.800464588,3.513824879,12.82196832,0,0,0,0,0,0,0,0,0,4.969134841,6.568434352,-2.190098513
9,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,3.787920698,4.58007353,3.583745708,6.883292368,5.314939541,5.145109301,0,0,0,0,0,0
9,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,3.787920698,4.58007353,3.583745708,0,0,0,3.500163142,-1.969130308,4.124390545,0,0,0
9,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,3.787920698,4.58007353,3.583745708,0,0,0,0,0,0,4.969134841,6.568434352,-2.190098513
10,NMT,ICT,NMT_ICT,1,0,5.536582307,7.926805757,13.9453175,0,0,0,0,0,0,0,0,0,7.260276458,-0.027955432,7.604192972,0,0,0,0,0,0
10,NMT,NICT,NMT_NICT,0,0,5.536582307,7.926805757,13.9453175,0,0,0,0,0,0,0,0,0,0,0,0,5.045312051,2.000243217,3.798899908,0,0,0
10,NMT,NA1,NMT_NA1,0,0,5.536582307,7.926805757,13.9453175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.611477612,-3.616861255,-5.571020278
10,IPT,ICT,IPT_ICT,0,0,0,0,0,5.711124527,3.202856332,4.958035269,0,0,0,0,0,0,7.260276458,-0.027955432,7.604192972,0,0,0,0,0,0
10,IPT,NICT,IPT_NICT,0,0,0,0,0,5.711124527,3.202856332,4.958035269,0,0,0,0,0,0,0,0,0,5.045312051,2.000243217,3.798899908,0,0,0
10,IPT,NA1,IPT_NA1,0,0,0,0,0,5.711124527,3.202856332,4.958035269,0,0,0,0,0,0,0,0,0,0,0,0,3.611477612,-3.616861255,-5.571020278
10,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,5.165789993,1.948199761,-1.625904412,0,0,0,7.260276458,-0.027955432,7.604192972,0,0,0,0,0,0
10,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,5.165789993,1.948199761,-1.625904412,0,0,0,0,0,0,5.045312051,2.000243217,3.798899908,0,0,0
10,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,5.165789993,1.948199761,-1.625904412,0,0,0,0,0,0,0,0,0,3.611477612,-3.616861255,-5.571020278
10,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,5.800287677,3.450766585,2.120273007,7.260276458,-0.027955432,7.604192972,0,0,0,0,0,0
10,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,5.800287677,3.450766585,2.120273007,0,0,0,5.045312051,2.000243217,3.798899908,0,0,0
10,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,5.800287677,3.450766585,2.120273007,0,0,0,0,0,0,3.611477612,-3.616861255,-5.571020278
11,NMT,ICT,NMT_ICT,0,0,5.534270246,5.195830273,8.835856208,0,0,0,0,0,0,0,0,0,6.716530085,2.149947376,-0.239066882,0,0,0,0,0,0
11,NMT,NICT,NMT_NICT,0,0,5.534270246,5.195830273,8.835856208,0,0,0,0,0,0,0,0,0,0,0,0,4.873562067,0.695172699,5.028536531,0,0,0
11,NMT,NA1,NMT_NA1,1,0,5.534270246,5.195830273,8.835856208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.660410571,9.370013876,3.323447515
11,IPT,ICT,IPT_ICT,0,0,0,0,0,7.322571475,6.747059145,4.047120272,0,0,0,0,0,0,6.716530085,2.149947376,-0.239066882,0,0,0,0,0,0
11,IPT,NICT,IPT_NICT,0,0,0,0,0,7.322571475,6.747059145,4.047120272,0,0,0,0,0,0,0,0,0,4.873562067,0.695172699,5.028536531,0,0,0
11,IPT,NA1,IPT_NA1,0,0,0,0,0,7.322571475,6.747059145,4.047120272,0,0,0,0,0,0,0,0,0,0,0,0,2.660410571,9.370013876,3.323447515
11,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,7.233215645,6.377529043,-1.051265801,0,0,0,6.716530085,2.149947376,-0.239066882,0,0,0,0,0,0
11,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,7.233215645,6.377529043,-1.051265801,0,0,0,0,0,0,4.873562067,0.695172699,5.028536531,0,0,0
11,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,7.233215645,6.377529043,-1.051265801,0,0,0,0,0,0,0,0,0,2.660410571,9.370013876,3.323447515
11,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,2.502721806,4.261712833,3.345970132,6.716530085,2.149947376,-0.239066882,0,0,0,0,0,0
11,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,2.502721806,4.261712833,3.345970132,0,0,0,4.873562067,0.695172699,5.028536531,0,0,0
11,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,2.502721806,4.261712833,3.345970132,0,0,0,0,0,0,2.660410571,9.370013876,3.323447515
12,NMT,ICT,NMT_ICT,0,0,6.241962272,7.465517968,4.076278157,0,0,0,0,0,0,0,0,0,5.592650884,2.950573906,-3.920414646,0,0,0,0,0,0
12,NMT,NICT,NMT_NICT,0,0,6.241962272,7.465517968,4.076278157,0,0,0,0,0,0,0,0,0,0,0,0,4.734907879,-0.359087723,3.312498114,0,0,0
12,NMT,NA1,NMT_NA1,1,0,6.241962272,7.465517968,4.076278157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.362830393,5.366042409,-1.872873723
12,IPT,ICT,IPT_ICT,0,0,0,0,0,5.720115256,4.469989241,2.600626954,0,0,0,0,0,0,5.592650884,2.950573906,-3.920414646,0,0,0,0,0,0
12,IPT,NICT,IPT_NICT,0,0,0,0,0,5.720115256,4.469989241,2.600626954,0,0,0,0,0,0,0,0,0,4.734907879,-0.359087723,3.312498114,0,0,0
12,IPT,NA1,IPT_NA1,0,0,0,0,0,5.720115256,4.469989241,2.600626954,0,0,0,0,0,0,0,0,0,0,0,0,3.362830393,5.366042409,-1.872873723
12,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,8.421036284,0.067526845,4.065785949,0,0,0,5.592650884,2.950573906,-3.920414646,0,0,0,0,0,0
12,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,8.421036284,0.067526845,4.065785949,0,0,0,0,0,0,4.734907879,-0.359087723,3.312498114,0,0,0
12,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,8.421036284,0.067526845,4.065785949,0,0,0,0,0,0,0,0,0,3.362830393,5.366042409,-1.872873723
12,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,5.360504324,4.108111975,3.56361167,5.592650884,2.950573906,-3.920414646,0,0,0,0,0,0
12,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,5.360504324,4.108111975,3.56361167,0,0,0,4.734907879,-0.359087723,3.312498114,0,0,0
12,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,5.360504324,4.108111975,3.56361167,0,0,0,0,0,0,3.362830393,5.366042409,-1.872873723
