,Unnamed: 0,ID,Gender,Age,Education,Income,Pay_Method,App_Frq,Disability,Drv_Exp,Drv_Frq,Prk_Frq,Payment,Information,Reminder,Price,Choice,CHID,ALT,Tap,Voice,Automatic,ParkMeter,No_info,Availabile,Avail_Traffic,No_Remind,Remind,App_Users,Regular_Prk,Regular_App,Under_35,PRF1,PRF2,PRF3,PRF4,TIME1,TIME2,TIME3,TIME4,PRV1,PRV2,PRV3,Interaction,Interaction1,Interaction2,Interaction3,Interaction4,new_Age,new_PRF1,new_TIME4,Interaction5,Interaction6,new_AgexParkMeter,PRFxParkMeter,TIMExParkMeter,EducationxParkMeter,Drv_ExpxParkMeter,Prk_FrqxParkMeter
12,12,2,1,1,5,3,2,2,1,4,4,0,3,3,2,55,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,2,1,1,5,3,2,2,1,4,4,0,2,2,2,45,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,2,1,1,5,3,2,2,1,4,4,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,5,4,0
15,15,2,1,1,5,3,2,2,1,4,4,0,1,3,2,50,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,2,1,1,5,3,2,2,1,4,4,0,2,3,1,30,1,2,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,2,1,1,5,3,2,2,1,4,4,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,5,4,0
18,18,2,1,1,5,3,2,2,1,4,4,0,1,2,1,25,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,2,1,1,5,3,2,2,1,4,4,0,2,1,1,20,0,3,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,2,1,1,5,3,2,2,1,4,4,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,5,4,0
21,21,2,1,1,5,3,2,2,1,4,4,0,3,1,1,25,0,4,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,2,1,1,5,3,2,2,1,4,4,0,2,2,2,45,0,4,2,0,1,0,0,0,1,0,0,1,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,2,1,1,5,3,2,2,1,4,4,0,0,0,0,0,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,5,4,0
24,24,3,0,5,2,3,2,1,2,4,4,0,3,2,2,50,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
25,25,3,0,5,2,3,2,1,2,4,4,0,1,3,2,50,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
26,26,3,0,5,2,3,2,1,2,4,4,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,2,1,1,2,4,2,1,1,0,0,2,1,1,2,4,0
27,27,3,0,5,2,3,2,1,2,4,4,0,3,1,1,25,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
28,28,3,0,5,2,3,2,1,2,4,4,0,2,1,1,20,0,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
29,29,3,0,5,2,3,2,1,2,4,4,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,2,1,1,2,4,2,1,1,0,0,2,1,1,2,4,0
30,30,3,0,5,2,3,2,1,2,4,4,0,1,2,1,25,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
31,31,3,0,5,2,3,2,1,2,4,4,0,2,3,1,30,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
32,32,3,0,5,2,3,2,1,2,4,4,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,2,1,1,2,4,2,1,1,0,0,2,1,1,2,4,0
33,33,3,0,5,2,3,2,1,2,4,4,0,1,3,2,50,1,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
34,34,3,0,5,2,3,2,1,2,4,4,0,2,3,2,50,0,4,2,0,1,0,0,0,0,1,0,1,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
35,35,3,0,5,2,3,2,1,2,4,4,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,2,2,2,2,2,2,1,1,2,4,2,1,1,0,0,2,1,1,2,4,0
36,36,4,1,1,4,4,2,2,1,2,0,0,3,3,1,35,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
37,37,4,1,1,4,4,2,2,1,2,0,0,1,3,1,30,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
38,38,4,1,1,4,4,2,2,1,2,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,2,2,4,2,0,2,2,0,1,0,2,2,4,2,0
39,39,4,1,1,4,4,2,2,1,2,0,0,2,2,2,45,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
40,40,4,1,1,4,4,2,2,1,2,0,0,2,1,2,40,0,2,2,0,1,0,0,1,0,0,0,1,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
41,41,4,1,1,4,4,2,2,1,2,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,2,2,4,2,0,2,2,0,1,0,2,2,4,2,0
42,42,4,1,1,4,4,2,2,1,2,0,0,1,1,2,40,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
43,43,4,1,1,4,4,2,2,1,2,0,0,3,2,1,30,1,3,2,0,0,1,0,0,1,0,1,0,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
44,44,4,1,1,4,4,2,2,1,2,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,2,2,4,2,0,2,2,0,1,0,2,2,4,2,0
45,45,4,1,1,4,4,2,2,1,2,0,0,1,2,1,25,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
46,46,4,1,1,4,4,2,2,1,2,0,0,1,1,2,40,0,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
47,47,4,1,1,4,4,2,2,1,2,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,2,2,3,3,3,3,3,2,2,0,2,2,4,2,0,2,2,0,1,0,2,2,4,2,0
48,48,5,0,5,0,2,1,0,1,4,0,0,2,3,1,30,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
49,49,5,0,5,0,2,1,0,1,4,0,0,1,2,2,45,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
50,50,5,0,5,0,2,1,0,1,4,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,2,1,1,0,4,2,1,1,0,0,2,1,1,0,4,0
51,51,5,0,5,0,2,1,0,1,4,0,0,3,3,1,35,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
52,52,5,0,5,0,2,1,0,1,4,0,0,1,3,2,50,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
53,53,5,0,5,0,2,1,0,1,4,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,2,1,1,0,4,2,1,1,0,0,2,1,1,0,4,0
54,54,5,0,5,0,2,1,0,1,4,0,0,1,2,2,45,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
55,55,5,0,5,0,2,1,0,1,4,0,0,2,1,1,20,0,3,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
56,56,5,0,5,0,2,1,0,1,4,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,2,1,1,0,4,2,1,1,0,0,2,1,1,0,4,0
57,57,5,0,5,0,2,1,0,1,4,0,0,1,3,1,30,0,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
58,58,5,0,5,0,2,1,0,1,4,0,0,3,1,2,45,0,4,2,0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
59,59,5,0,5,0,2,1,0,1,4,0,0,0,0,0,0,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,2,2,4,4,3,2,1,1,0,4,2,1,1,0,0,2,1,1,0,4,0
60,60,6,1,5,0,1,1,0,1,4,0,0,1,1,1,20,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
61,61,6,1,5,0,1,1,0,1,4,0,0,2,2,2,45,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
62,62,6,1,5,0,1,1,0,1,4,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,2,2,1,0,4,2,2,1,0,1,2,2,1,0,4,0
63,63,6,1,5,0,1,1,0,1,4,0,0,3,3,2,55,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
64,64,6,1,5,0,1,1,0,1,4,0,0,2,3,1,30,0,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
65,65,6,1,5,0,1,1,0,1,4,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,2,2,1,0,4,2,2,1,0,1,2,2,1,0,4,0
66,66,6,1,5,0,1,1,0,1,4,0,0,2,2,1,25,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
67,67,6,1,5,0,1,1,0,1,4,0,0,1,1,2,40,0,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
68,68,6,1,5,0,1,1,0,1,4,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,2,2,1,0,4,2,2,1,0,1,2,2,1,0,4,0
69,69,6,1,5,0,1,1,0,1,4,0,0,1,3,1,30,0,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
70,70,6,1,5,0,1,1,0,1,4,0,0,3,1,2,45,0,4,2,0,0,1,0,1,0,0,0,1,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
71,71,6,1,5,0,1,1,0,1,4,0,0,0,0,0,0,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,4,3,2,3,2,4,4,3,2,2,1,0,4,2,2,1,0,1,2,2,1,0,4,0
72,72,7,0,3,4,5,1,0,1,4,4,0,2,2,1,25,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
73,73,7,0,3,4,5,1,0,1,4,4,0,1,3,2,50,1,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
74,74,7,0,3,4,5,1,0,1,4,4,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,1,2,2,4,4,1,2,2,0,0,1,2,2,4,4,0
75,75,7,0,3,4,5,1,0,1,4,4,0,2,1,2,40,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
76,76,7,0,3,4,5,1,0,1,4,4,0,3,2,1,30,0,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
77,77,7,0,3,4,5,1,0,1,4,4,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,1,2,2,4,4,1,2,2,0,0,1,2,2,4,4,0
78,78,7,0,3,4,5,1,0,1,4,4,0,1,1,2,40,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
79,79,7,0,3,4,5,1,0,1,4,4,0,3,1,2,45,0,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
80,80,7,0,3,4,5,1,0,1,4,4,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,1,2,2,4,4,1,2,2,0,0,1,2,2,4,4,0
81,81,7,0,3,4,5,1,0,1,4,4,0,1,3,1,30,1,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
82,82,7,0,3,4,5,1,0,1,4,4,0,2,3,1,30,0,4,2,0,1,0,0,0,0,1,1,0,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
83,83,7,0,3,4,5,1,0,1,4,4,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,1,2,2,4,4,1,2,2,0,0,1,2,2,4,4,0
84,84,8,0,5,3,3,1,0,1,4,4,0,3,3,1,35,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
85,85,8,0,5,3,3,1,0,1,4,4,0,1,1,1,20,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
86,86,8,0,5,3,3,1,0,1,4,4,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,2,1,1,3,4,2,1,1,0,0,2,1,1,3,4,0
87,87,8,0,5,3,3,1,0,1,4,4,0,3,2,1,30,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
88,88,8,0,5,3,3,1,0,1,4,4,0,3,2,2,50,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
89,89,8,0,5,3,3,1,0,1,4,4,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,2,1,1,3,4,2,1,1,0,0,2,1,1,3,4,0
90,90,8,0,5,3,3,1,0,1,4,4,0,2,1,2,40,0,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
91,91,8,0,5,3,3,1,0,1,4,4,0,2,3,2,50,0,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
92,92,8,0,5,3,3,1,0,1,4,4,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,2,1,1,3,4,2,1,1,0,0,2,1,1,3,4,0
93,93,8,0,5,3,3,1,0,1,4,4,0,2,2,1,25,0,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
94,94,8,0,5,3,3,1,0,1,4,4,0,1,3,2,50,0,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
95,95,8,0,5,3,3,1,0,1,4,4,0,0,0,0,0,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,1,2,2,4,4,2,1,1,3,4,2,1,1,0,0,2,1,1,3,4,0
96,96,9,0,5,0,2,1,0,1,4,2,2,2,3,2,50,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
97,97,9,0,5,0,2,1,0,1,4,2,2,3,2,2,50,1,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
98,98,9,0,5,0,2,1,0,1,4,2,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,2,0,2,0,4,2,0,2,2,0,2,0,2,0,4,2
99,99,9,0,5,0,2,1,0,1,4,2,2,1,1,2,40,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
100,100,9,0,5,0,2,1,0,1,4,2,2,1,3,1,30,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
101,101,9,0,5,0,2,1,0,1,4,2,2,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,2,0,2,0,4,2,0,2,2,0,2,0,2,0,4,2
102,102,9,0,5,0,2,1,0,1,4,2,2,2,2,1,25,1,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
103,103,9,0,5,0,2,1,0,1,4,2,2,1,3,2,50,0,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
104,104,9,0,5,0,2,1,0,1,4,2,2,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,2,0,2,0,4,2,0,2,2,0,2,0,2,0,4,2
105,105,9,0,5,0,2,1,0,1,4,2,2,3,1,1,25,1,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
106,106,9,0,5,0,2,1,0,1,4,2,2,3,2,1,30,0,4,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
107,107,9,0,5,0,2,1,0,1,4,2,2,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,2,1,2,3,1,1,1,2,0,2,0,4,2,0,2,2,0,2,0,2,0,4,2
108,108,10,0,4,1,2,2,2,1,4,4,2,2,3,2,50,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,3,3,2,2,2,2,3,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
109,109,10,0,4,1,2,2,2,1,4,4,2,1,2,2,45,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,3,3,2,2,2,2,3,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
