GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,TRAIN_GA1,SM_GA1,CAR_GA1,CAR_HE,CAR_SEATS,TRAIN_SEATS,OBS_ID,alternative,alt_mode,alt_purpose,choice,TT,CO,HE,SEATS,GA1
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.27,0.4,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,21,SM_COMM,SM,COMM,1,0.27,0.4,0.1,1,0.0
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.25,0.38,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,22,SM_COMM,SM,COMM,1,0.25,0.38,0.3,1,0.0
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.25,0.36,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,23,SM_COMM,SM,COMM,1,0.25,0.36,0.3,1,0.0
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.25,0.42,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,24,SM_COMM,SM,COMM,1,0.25,0.42,0.2,0,0.0
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.27,0.32,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,25,SM_COMM,SM,COMM,1,0.27,0.32,0.1,1,0.0
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.27,0.4,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,26,SM_COMM,SM,COMM,1,0.27,0.4,0.3,0,0.0
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.27,0.42,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,27,SM_COMM,SM,COMM,1,0.27,0.42,0.3,0,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.65,0.45,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,28,SM_COMM,SM,COMM,1,0.65,0.45,0.1,0,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.61,0.52,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,29,SM_COMM,SM,COMM,1,0.61,0.52,0.1,1,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.58,0.49,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,30,SM_COMM,SM,COMM,1,0.58,0.49,0.2,0,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.58,0.49,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,31,SM_COMM,SM,COMM,1,0.58,0.49,0.3,1,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.58,0.46,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,32,SM_COMM,SM,COMM,1,0.58,0.46,0.3,1,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.61,0.42,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,33,SM_COMM,SM,COMM,1,0.61,0.42,0.1,1,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.58,0.5,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,34,SM_COMM,SM,COMM,1,0.58,0.5,0.2,0,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.61,0.52,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,35,SM_COMM,SM,COMM,1,0.61,0.52,0.3,0,0.0
2,0,1,4,COMM,0,1,1,1,2,1,3,0,19,2,1,1,1,0.0,0.0,0.0,0.61,0.52,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,36,SM_COMM,SM,COMM,1,0.61,0.52,0.3,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.16,0.72,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,37,SM_COMM,SM,COMM,1,2.16,0.72,0.2,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.13,0.7,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,38,SM_COMM,SM,COMM,1,2.13,0.7,0.1,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.2,0.74,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,39,SM_COMM,SM,COMM,1,2.2,0.74,0.3,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.16,0.66,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,40,SM_COMM,SM,COMM,1,2.16,0.66,0.2,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.16,0.57,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,41,SM_COMM,SM,COMM,1,2.16,0.57,0.2,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.13,0.62,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,42,SM_COMM,SM,COMM,1,2.13,0.62,0.1,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.2,0.74,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,43,SM_COMM,SM,COMM,1,2.2,0.74,0.1,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.2,0.57,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,44,SM_COMM,SM,COMM,1,2.2,0.57,0.3,0,0.0
2,0,1,5,COMM,0,1,1,1,2,1,3,0,21,17,1,0,1,0.0,0.0,0.0,2.13,0.64,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,45,SM_COMM,SM,COMM,1,2.13,0.64,0.1,0,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.46,0.38,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,46,SM_COMM,SM,COMM,1,0.46,0.38,0.3,1,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.49,0.29,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,47,SM_COMM,SM,COMM,1,0.49,0.29,0.3,0,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.53,0.32,0.2,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,48,SM_COMM,SM,COMM,1,0.53,0.32,0.2,1,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.53,0.32,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,49,SM_COMM,SM,COMM,1,0.53,0.32,0.1,0,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.53,0.32,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,50,SM_COMM,SM,COMM,1,0.53,0.32,0.3,0,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.53,0.32,0.2,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,51,SM_COMM,SM,COMM,1,0.53,0.32,0.2,1,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.49,0.4,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,52,SM_COMM,SM,COMM,1,0.49,0.4,0.1,1,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.46,0.35,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,53,SM_COMM,SM,COMM,1,0.46,0.35,0.2,0,0.0
2,0,1,6,COMM,0,1,1,1,3,0,3,0,9,17,1,1,1,0.0,0.0,0.0,0.53,0.46,0.2,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,54,SM_COMM,SM,COMM,1,0.53,0.46,0.2,1,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.32,0.49,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,55,SM_COMM,SM,COMM,1,0.32,0.49,0.2,0,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.29,0.46,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,56,SM_COMM,SM,COMM,1,0.29,0.46,0.1,0,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.36,0.56,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,57,SM_COMM,SM,COMM,1,0.36,0.56,0.3,0,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.32,0.49,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,58,SM_COMM,SM,COMM,1,0.32,0.49,0.2,0,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.32,0.38,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,59,SM_COMM,SM,COMM,1,0.32,0.38,0.2,0,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.29,0.46,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,60,SM_COMM,SM,COMM,1,0.29,0.46,0.1,0,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.36,0.56,0.1,0,0.0,0.0,TRAIN,0.0,0.0,0,0,0,0,61,SM_COMM,SM,COMM,0,0.36,0.56,0.1,0,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.36,0.4,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,62,SM_COMM,SM,COMM,1,0.36,0.4,0.3,0,0.0
2,0,1,7,COMM,0,1,1,1,3,1,1,0,1,2,1,1,1,0.0,0.0,0.0,0.29,0.43,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,63,SM_COMM,SM,COMM,1,0.29,0.43,0.1,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.56,0.34,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,64,SM_COMM,SM,COMM,1,0.56,0.34,0.2,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.53,0.32,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,65,SM_COMM,SM,COMM,1,0.53,0.32,0.1,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.6,0.4,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,66,SM_COMM,SM,COMM,1,0.6,0.4,0.3,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.56,0.35,0.2,0,0.0,0.0,CAR,0.0,0.0,0,0,0,0,67,SM_COMM,SM,COMM,0,0.56,0.35,0.2,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.56,0.24,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,68,SM_COMM,SM,COMM,1,0.56,0.24,0.2,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.53,0.32,0.1,0,0.0,0.0,CAR,0.0,0.0,0,0,0,0,69,SM_COMM,SM,COMM,0,0.53,0.32,0.1,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.6,0.4,0.1,0,0.0,0.0,CAR,0.0,0.0,0,0,0,0,70,SM_COMM,SM,COMM,0,0.6,0.4,0.1,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.6,0.26,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,71,SM_COMM,SM,COMM,1,0.6,0.26,0.3,0,0.0
2,0,1,8,COMM,0,1,1,1,4,1,3,0,1,17,1,1,1,0.0,0.0,0.0,0.53,0.28,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,72,SM_COMM,SM,COMM,1,0.53,0.28,0.1,0,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.53,0.28,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,73,SM_COMM,SM,COMM,1,0.53,0.28,0.1,0,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.46,0.32,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,74,SM_COMM,SM,COMM,1,0.46,0.32,0.2,0,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.49,0.36,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,75,SM_COMM,SM,COMM,1,0.49,0.36,0.1,1,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.46,0.32,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,76,SM_COMM,SM,COMM,1,0.46,0.32,0.3,1,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.46,0.29,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,77,SM_COMM,SM,COMM,1,0.46,0.29,0.3,1,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.46,0.32,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,78,SM_COMM,SM,COMM,1,0.46,0.32,0.2,0,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.49,0.25,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,79,SM_COMM,SM,COMM,1,0.49,0.25,0.1,1,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.49,0.36,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,80,SM_COMM,SM,COMM,1,0.49,0.36,0.3,0,0.0
2,0,1,9,COMM,0,1,1,1,2,1,2,0,17,1,1,1,1,0.0,0.0,0.0,0.49,0.35,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,81,SM_COMM,SM,COMM,1,0.49,0.35,0.3,0,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.59,0.46,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,82,SM_COMM,SM,COMM,1,0.59,0.46,0.3,1,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.62,0.38,0.3,0,0.0,0.0,TRAIN,0.0,0.0,0,0,0,0,83,SM_COMM,SM,COMM,0,0.62,0.38,0.3,0,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.66,0.4,0.2,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,84,SM_COMM,SM,COMM,1,0.66,0.4,0.2,1,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.66,0.4,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,85,SM_COMM,SM,COMM,1,0.66,0.4,0.1,0,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.66,0.42,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,86,SM_COMM,SM,COMM,1,0.66,0.42,0.3,0,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.66,0.42,0.2,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,87,SM_COMM,SM,COMM,1,0.66,0.42,0.2,1,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.62,0.49,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,88,SM_COMM,SM,COMM,1,0.62,0.49,0.1,1,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.59,0.43,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,89,SM_COMM,SM,COMM,1,0.59,0.43,0.2,0,0.0
2,0,1,10,COMM,0,1,2,1,2,0,1,0,2,1,1,0,1,0.0,0.0,0.0,0.66,0.56,0.2,1,0.0,0.0,TRAIN,0.0,0.0,0,0,0,0,90,SM_COMM,SM,COMM,0,0.66,0.56,0.2,1,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.52,0.38,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,91,SM_COMM,SM,COMM,1,0.52,0.38,0.1,0,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.48,0.43,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,92,SM_COMM,SM,COMM,1,0.48,0.43,0.1,1,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.45,0.4,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,93,SM_COMM,SM,COMM,1,0.45,0.4,0.2,0,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.45,0.4,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,94,SM_COMM,SM,COMM,1,0.45,0.4,0.3,1,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.45,0.4,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,95,SM_COMM,SM,COMM,1,0.45,0.4,0.3,1,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.48,0.34,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,96,SM_COMM,SM,COMM,1,0.48,0.34,0.1,1,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.45,0.43,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,97,SM_COMM,SM,COMM,1,0.45,0.43,0.2,0,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.48,0.45,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,98,SM_COMM,SM,COMM,1,0.48,0.45,0.3,0,0.0
2,0,1,11,COMM,0,1,2,1,2,1,2,0,17,19,1,0,1,0.0,0.0,0.0,0.48,0.43,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,99,SM_COMM,SM,COMM,1,0.48,0.43,0.3,0,0.0
2,0,1,12,COMM,0,1,2,1,3,0,2,0,1,2,1,0,1,0.0,0.0,0.0,0.66,0.42,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,100,SM_COMM,SM,COMM,1,0.66,0.42,0.1,0,0.0
2,0,1,12,COMM,0,1,2,1,3,0,2,0,1,2,1,0,1,0.0,0.0,0.0,0.62,0.5,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,101,SM_COMM,SM,COMM,1,0.62,0.5,0.1,1,0.0
2,0,1,12,COMM,0,1,2,1,3,0,2,0,1,2,1,0,1,0.0,0.0,0.0,0.59,0.48,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,102,SM_COMM,SM,COMM,1,0.59,0.48,0.2,0,0.0
2,0,1,12,COMM,0,1,2,1,3,0,2,0,1,2,1,0,1,0.0,0.0,0.0,0.59,0.48,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,103,SM_COMM,SM,COMM,1,0.59,0.48,0.3,1,0.0
2,0,1,12,COMM,0,1,2,1,3,0,2,0,1,2,1,0,1,0.0,0.0,0.0,0.59,0.45,0.3,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,104,SM_COMM,SM,COMM,1,0.59,0.45,0.3,1,0.0
2,0,1,12,COMM,0,1,2,1,3,0,2,0,1,2,1,0,1,0.0,0.0,0.0,0.62,0.38,0.1,1,0.0,0.0,SM,0.0,0.0,0,0,0,0,105,SM_COMM,SM,COMM,1,0.62,0.38,0.1,1,0.0
