recorded_date,response_id,bridge_used,bridge_preference,reason_not_used,reason_not_used_other,trip_start_postcode,trip_end_postcode,travel_mode,trip_reason,trip_reason_other,travel_group,trip_frequency,impact_time,impact_comfort,impact_safety,impact_connectivity,pattern_change_mode,pattern_change_time,pattern_change_freq,pattern_change_places,trip_alternative,age,gender,gender_other,postcode,education,employment_status,currently_studying,drivers_licence,household_under15,household_15_17,household_18plus,bridge_feedback
2025-05-12 12:29:50,R_9nBPlPnmXTyzOvq,Kangaroo Point Bridge,,,,4101.0,4000.0,Walk ,Visiting family/ friends/relatives/ social visit,,alone,Few times a week,,,,,Maybe,Maybe,Maybe,Maybe,Not travelled,18-24,Female,,4051.0,Years 10/11/12,Student receiving Youth Allowance/ Stipend,Yes,No licence,0,0,2,
2025-05-12 13:26:27,R_9XcyoJAlp97MjCY,I have not used any of the above,,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Female,,4109.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Prefer not to answer,1,0,2,
2025-05-12 13:45:45,R_9nTe9SNdd4jQJFv,Breakfast/ Yowoggera Bridge,,,,4006.0,4000.0,Walk ,Commute related to work,,alone,Daily,,,,,Yes,Yes,Yes,Yes,Travelled to someplace else for the same purpose/reason/activity,40-44,Female,,4006.0,Certificate III & IV,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,2,4,7,
2025-05-12 13:46:13,R_4JkEaoTUnCQKS8E,Kangaroo Point Bridge,,,,4169.0,4169.0,Walk ,To go shopping,,alone,Few times a month,,,,,Yes,Yes,Yes,Yes,Used a bus,18-24,Female,,4169.0,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,No,Car licence,0,0,3,It gives me benefits with walking to the city
2025-05-12 13:53:58,R_92ni7JlwNQlVZdL,I have not used any of the above,,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,25-29,Male,,4066.0,Advanced Diploma and Diploma,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,0,0,1,
2025-05-12 13:58:13,R_4qfgXsVpccPOzGd,Kangaroo Point Bridge,,,,4151.0,4000.0,Walk ,Fitness/exercise,,alone,Few times a month,,,,,No,No,No,Yes,Used a longer route,18-24,Female,,4105.0,Advanced Diploma and Diploma,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,4,
2025-05-12 14:11:00,R_45F8b8OqvEfiiyZ,Kangaroo Point Bridge,,,,4122.0,4152.0, Pushbike  ,Commute to study,,with more than two persons,Few times a month,,,,,No,Maybe,No,Yes,Travelled to someplace else for the same purpose/reason/activity,18-24,Female,,4132.0,Years 9 and below,"Employed (paid work) typically working less than 35 hours a week,Volunteer/ unpaid work",Prefer not to answer,Car licence,4,1,2,"Yes, it was very scenic and spacious so lots of space to watch the view. "
2025-05-12 14:13:11,R_9FVZcB0V6UO5XOr,"Kangaroo Point Bridge,Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Neville Bonner Bridge,,,4001.0,4000.0,,Fitness/exercise,,alone,Few times a month,,,,,Yes,Yes,Yes,Yes,Used a ferry,25-29,Male,,4076.0,Graduate Diploma and Graduate Certificate,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,3,0,3,
2025-05-12 14:28:50,R_4JCxFhgPJgmtDNu,Kangaroo Point Bridge,,,,4509.0,4169.0,Walk ,Fitness/exercise,,with one other person,Rarely,,,,,Yes,No,No,Yes,Used a car (as a driver),18-24,Female,,4509.0,Years 10/11/12,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,1,1,3,
2025-05-12 14:33:43,R_9q9xdG8BpKIyzYB,Kangaroo Point Bridge,,,,4152.0,4059.0,Walk ,Commute to study,,with one other person,Rarely,,,,,Yes,No,Yes,Yes,Used a longer route,18-24,Male,,4059.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,1,0,3,
2025-05-12 15:14:15,R_9XPDb5RpqaYMUMh,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4169.0,4000.0,Personal E-scooter   ,Commute to study,,alone,Few times a week,,,,,Yes,No,No,Maybe,Used a ferry,35-39,Male,,4169.0,Postgraduate Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,4,0,4,
2025-05-12 15:30:30,R_9VD374Jhf2dwpmn,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4179.0,4000.0,Walk ,Commute to study,,alone,Few times a month,,,,,No,No,No,Yes,Used a car (as a driver),18-24,Male,,4179.0,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,4,"The green bridge has significantly reduced travel time from home to QUT when using public transport (train) and walking. I’ve also used the bridge to quickly access shops and restaurants in south bank during the day whilst at QUT, where without it I’d be limited to what’s available on campus."
2025-05-12 16:06:06,R_9v1Fs7gIfn7AUOV,I have not used any of the above,Kangaroo Point Bridge,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Female,,4170.0,Years 10/11/12,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,5,0,5,
2025-05-12 16:58:39,R_9rCt9zfgtoxr25X,I have not used any of the above,Kangaroo Point Bridge,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Male,,4101.0,Years 10/11/12,Volunteer/ unpaid work,Yes,"Car licence,Motorcycle licence",0,0,1,
2025-05-12 16:59:26,R_4kUsUSq2PgGHFkd,Neville Bonner Bridge,Neville Bonner Bridge,,,4101.0,4000.0,,To go shopping,,with two other persons,Rarely,,,,,Maybe,No,No,Maybe,Used a train,18-24,Female,,4102.0,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,No,Car licence,0,1,3,"It doesn’t benefit me much as I live by the train station so I usually catch the train to the city, I just use the bridge if I feel like walking"
2025-05-12 17:03:04,R_9BrnysYkWU1Qrhc,"Kangaroo Point Bridge,Neville Bonner Bridge",Kangaroo Point Bridge,,,4102.0,4005.0,Personal E-scooter   ,Commute to my workplace,,alone,On most weekends,,,,,Maybe,Maybe,Yes,Yes,Used a longer route,25-29,Male,,4005.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,Yes,No licence,0,0,3,"I walk short distances, and I enjoy the views every time I walk through "
2025-05-12 17:41:17,R_4duH2mOeaBT33Im,I have not used any of the above,Kangaroo Point Bridge,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,25-29,Female,,4170.0,Postgraduate Degree,Employed (paid work) typically working less than 35 hours a week,No,Car licence,5,0,5,
2025-05-12 18:03:49,R_9WwKeU5i4cQo7Ws,I have not used any of the above,Neville Bonner Bridge,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Female,,4109.0,Years 10/11/12,Not currently working for any other reason,Yes,Car licence,0,0,4,
2025-05-12 18:51:20,R_47szbjmntQPqQLn,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4000.0,4000.0,Walk ,To experience the bridge,,with two other persons,Rarely,,,,,No,No,No,No,Used a bus,18-24,Female,,4130.0,Advanced Diploma and Diploma,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,3,It’s is not close to where I go
2025-05-12 19:52:06,R_43CFUXosedDfZEl,Kangaroo Point Bridge,,,,4000.0,4000.0,Walk ,Fitness/exercise,,alone,On most weekends,,,,,Yes,Yes,Yes,Yes,Used a longer route,25-29,Male,,4105.0,Certificate III & IV,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,4,
2025-05-12 19:53:57,R_9HzzWN24IYhBfQg,"Kangaroo Point Bridge,Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Kangaroo Point Bridge,,,4169.0,4000.0,Walk ,To visit Entertainment,,with more than two persons,Rarely,,,,,Yes,Yes,No,Yes,Used a car (as a driver),18-24,Male,,4105.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Motorcycle licence",0,0,4,
2025-05-12 20:53:32,R_91bvmXRnWeCLfap,"Kangaroo Point Bridge,Neville Bonner Bridge",Kangaroo Point Bridge,,,4169.0,4000.0,Walk ,Fitness/exercise,,with one other person,Few times a month,,,,,Yes,No,No,Yes,Used a longer route,18-24,Male,,4170.0,Years 10/11/12,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,0,0,4,
2025-05-12 21:32:06,R_9O9zERVqwzKC8mJ,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4169.0,4000.0,Personal E-bike  ,Commute to study,,alone,Few times a week,,,,,No,Yes,No,Yes,Used a longer route,25-29,Male,,4169.0,Advanced Diploma and Diploma,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,3,
2025-05-12 23:14:51,R_43UfNi6FNEDo4hh,Neville Bonner Bridge,Neville Bonner Bridge,,,4000.0,4101.0,,Commute to my workplace,,alone,Few times a week,,,,,Yes,Yes,No,Yes,Used a longer route,45-49,Female,,4214.0,Postgraduate Degree,Prefer not to answer,No,Prefer not to answer,0,0,2,"I regularly commute from the Gold Coast to Brisbane for work, and the Neville Bonner Green Bridge has made a difference to my day-to-day life. It helps me to get to station easier, provides relaxed and safe connection.

In addition,  the bridge has helped support my health and well-being. Having the chance to walk outside during a busy workday, get some fresh air, and take in the river views gives me a much-needed mental reset. I am glad to have this opportunity to add some movement to my day, which is otherwise limited due to long commutes and office work.

I see this bridge not only as infrastructure, but also a great solution that improves people movement, overall well-being and connection to Brisbane CBD. "
2025-05-13 10:50:15,R_4j7ElMCfbYdBWbg,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4102.0,4000.0,Walk ,Commute to my workplace,,alone,On most weekends,,,,,No,Yes,No,Maybe,Used a longer route,25-29,Male,,4102.0,Advanced Diploma and Diploma,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,1,0,1,
2025-05-13 12:10:52,R_997fhS24QQ8SU1N,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4000.0,4000.0,Walk ,Fitness/exercise,,alone,Few times a month,,,,,No,Yes,Yes,No,Used a longer route,25-29,Female,,4074.0,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,1,4,
2025-05-13 12:31:34,R_9hi9PebKX7cfqRH,Neville Bonner Bridge,Neville Bonner Bridge,,,4101.0,4000.0,,To experience the bridge,,with two other persons,Few times a month,,,,,No,No,No,Yes,Used a bus,25-29,Male,,4173.0,Years 10/11/12,"Volunteer/ unpaid work,Not currently working for any other reason",No,No licence,0,0,3,"Other than a nice walk and view, it hasn't benefited me personally, however I can see how it can benefit other people. It's also a nice shortcut to the city"
2025-05-13 13:51:42,R_4gT8WuwfZNQNfBl,"Kangaroo Point Bridge,Breakfast/ Yowoggera Bridge",Kangaroo Point Bridge,,,4121.0,4000.0,Personal E-scooter   ,Commute to study,,alone,Few times a week,,,,,Yes,Yes,Yes,No,Used a longer route,25-29,Male,,4121.0,Years 10/11/12,"Student receiving Youth Allowance/ Stipend,Not currently working due to short-term illness or injury",Yes,"Car licence,Motorcycle licence",0,0,1,
2025-05-13 15:42:59,R_9W3hJvr4IXXdl9D,"Kangaroo Point Bridge,Neville Bonner Bridge",Neville Bonner Bridge,,,4000.0,4151.0,,Commute to my workplace,,alone,Rarely,,,,,No,No,No,Yes,Used a longer route,35-39,Male,,4151.0,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,2,0,3,
2025-05-13 15:52:48,R_4e4UyL190vhyJJX,"Kangaroo Point Bridge,Neville Bonner Bridge",Kangaroo Point Bridge,,,4000.0,4000.0,Walk ,Fitness/exercise,,alone,Rarely,,,,,No,No,No,Maybe,Travelled to someplace else for the same purpose/reason/activity,35-39,Female,,4053.0,Graduate Diploma and Graduate Certificate,Employed (paid work) typically working less than 35 hours a week,No,Car licence,2,0,2,
2025-05-13 16:07:37,R_4OwNpG1VIz1IZ3g,"Kangaroo Point Bridge,Neville Bonner Bridge",Kangaroo Point Bridge,,,4066.0,4006.0, Pushbike  ,Commute to my workplace,,alone,Rarely,,,,,No,No,No,No,Used a longer route,25-29,Female,,4066.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,"While the story bridge was also open, significantly reduced commute time and distance to office located in the Valley compared to alternative safe cycling routes "
2025-05-13 16:17:10,R_4ypSFiSkdm97u9j,Neville Bonner Bridge,Neville Bonner Bridge,,,4101.0,4000.0,,"Other activity, please specify","pretty much the same distance and time between walking on the bridge, or walking from mary street to bus stop and hop off at cultural centre and then walk to south bank eat street",alone,Rarely,,,,,No,No,No,No,Used a bus,35-39,Female,,4101.0,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,2,0,2,"would have walked more. also if bus fare were still 2.50, I would have definitely used the bridge more often"
2025-05-13 20:26:55,R_9s5vCgyzAbo0SRU,Neville Bonner Bridge,Neville Bonner Bridge,,,4000.0,4000.0,,To go to a restaurant/ eat/drink,,with one other person,Rarely,,,,,No,No,No,No,Used a car (as a driver),35-39,Female,,4066.0,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,1,1,1,
2025-05-13 20:29:58,R_45XcHGGudAbHPA3,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4151.0,4006.0, Pushbike  ,Commute to my workplace,,alone,Daily,,,,,No,No,No,No,Travelled to someplace else for the same purpose/reason/activity,35-39,Male,,4151.0,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,3,0,1,
2025-05-13 20:34:54,R_9fB4R4SqMc8LIOG,"Kangaroo Point Bridge,Neville Bonner Bridge",Kangaroo Point Bridge,,,4001.0,4001.0,Walk ,Fitness/exercise,,with one other person,On most weekends,,,,,No,No,No,Yes,Travelled to someplace else for the same purpose/reason/activity,35-39,Female,,4104.0,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,1,Provides another running route 
2025-05-13 21:58:39,R_4bI5NoRjcHyRZfL,I have not used any of the above,Kangaroo Point Bridge,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,30-34,Male,,4010.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,0,0,2,
2025-05-14 08:08:15,R_9pNhJJVkz60h1gR,"Kangaroo Point Bridge,Neville Bonner Bridge",Neville Bonner Bridge,,,4101.0,4000.0,,To go to a restaurant/ eat/drink,,with one other person,On most weekends,,,,,Yes,Yes,Yes,Yes,Used a bus,18-24,Female,,4101.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,Great to have another route option for weekend walks on the weekend. Just a bit far from where we are to use it daily or more than once a week
2025-05-14 08:11:20,R_4meIUGX1WYlfe49,"Kangaroo Point Bridge,Neville Bonner Bridge",Neville Bonner Bridge,,,4101.0,4000.0,,Commute related to work,,with one other person,Few times a month,,,,,No,No,No,Maybe,"Used Taxi/RideShare (Uber, Didi, etc)",18-24,Female,,4122.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,4,
2025-05-14 08:15:04,R_9hR91lp70IXQTfW,I have not used any of the above,Kangaroo Point Bridge,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Female,,4218.0,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,1,No
2025-05-14 10:13:09,R_9CDfUAMjsfxSTfo,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4000.0,4101.0,Walk ,Fitness/exercise,,alone,Rarely,,,,,Yes,Yes,Maybe,Yes,Travelled to someplace else for the same purpose/reason/activity,25-29,Female,,4172.0,Prefer not to answer,Employed (paid work) typically working 35 hours or more in a week,No,No licence,0,0,1,It is a lovely bridge and encourages people to exercise. Makes it possible to get to different parts of the city via train easier so I am more inclined to use as it only costs 25p. Great physical and financial benefits can be had by all 
2025-05-14 10:14:11,R_4Cjbk2Fswcq6FEF,Neville Bonner Bridge,Neville Bonner Bridge,,,4000.0,3006.0,,To visit a park,,with one other person,Rarely,,,,,No,No,No,No,Used a car (as a driver),25-29,Female,,4179.0,Advanced Diploma and Diploma,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,2,0,2,
2025-05-14 11:51:50,R_9Oxd7rMWprFXIDv,I have not used any of the above,Kangaroo Point Bridge,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Female,,4130.0,Graduate Diploma and Graduate Certificate,"Employed (paid work) typically working less than 35 hours a week,Volunteer/ unpaid work",Yes,Car licence,0,0,6,"Less congestion - pathways, public "
2025-05-14 14:16:53,R_9fdM5fDLJSOURq6,"Kangaroo Point Bridge,Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Neville Bonner Bridge,,,3006.0,4000.0,,Commute related to work,,alone,On most weekends,,,,,Yes,Yes,Yes,No,Used a shorter route,18-24,Female,,4127.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,2,2,0,To help communicate to the perfect place 
2025-05-14 14:21:01,R_9mfPM0AUBXGu7g5,I have not used any of the above,Neville Bonner Bridge,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Female,,4115.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,1,4,Im unsure of what the green bridge is
2025-05-14 16:07:01,R_9K3YxFP0zALf8jk,"Kangaroo Point Bridge,Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Kangaroo Point Bridge,,,4151.0,4006.0,Personal E-bike  ,"Other activity, please specify",commute to gym class,alone,Few times a month,,,,,No,No,No,Yes,Used a longer route,30-34,Female,,4151.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Other Licence",0,0,3,"Viewing points of town never seen before. It is a new meeting place for friends for social walks around the river: KP to CBD botanic gardens, to Goodwill and back. It's nice walk shaded, away from cars has some cafes around. It is easy to ride across, as wide and separated. It doesn't link as well to Herston/North due to the signals compared to Story Bridge so network beyond the bridge is not great for riding."
2025-05-14 16:11:31,R_4C4uijn4PFibAn7,"Kangaroo Point Bridge,Neville Bonner Bridge",Neville Bonner Bridge,,,4000.0,4218.0,,Commute to my workplace,,alone,Rarely,,,,,Yes,,,,Used a longer route,18-24,Male,,4218.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Other Licence",0,0,7,"Much easier and quicker to reach South Brisbane Train Station, is only a 10 minute walk from my office, has led to me preferring to catch the train on some occasions."
2025-05-14 18:15:01,R_4owyUS6I0njDFjX,"Kangaroo Point Bridge,Neville Bonner Bridge",Kangaroo Point Bridge,,,4170.0,4000.0,Personal E-scooter   ,Commute to my workplace,,alone,Few times a week,,,,,Yes,No,No,Maybe,Used a train,35-39,Male,,4160.0,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,1,0,2,"I catch the train in from further out and would have to catch the train all the way into the city or South Bank, but with the Kangaroo Point bridge, I can use my e-scooter between Norman Park and CBD and saves me a lot of time."
2025-05-14 18:37:58,R_4TQPykEIEwhCLKg,"Kangaroo Point Bridge,Neville Bonner Bridge",Neville Bonner Bridge,,,4000.0,4000.0,,To visit Entertainment,,alone,Rarely,,,,,No,No,No,Yes,Used a longer route,18-24,Female,,4121.0,Bachelor Degree,"Employed (paid work) typically working less than 35 hours a week,Student receiving Youth Allowance/ Stipend",Yes,Car licence,0,0,1,it’s shortened my trips
2025-05-14 21:49:51,R_9gUCDzdhJGIQrae,"Kangaroo Point Bridge,Neville Bonner Bridge",Neville Bonner Bridge,,,4101.0,4000.0,,Fitness/exercise,,alone,Few times a month,,,,,Maybe,No,Yes,Yes,Used a longer route,35-39,Male,,4122.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,1,
2025-05-14 22:05:56,R_9vwrlgRUe5E7K2R,"Kangaroo Point Bridge,Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Neville Bonner Bridge,,,4000.0,4000.0,,Fitness/exercise,,alone,Few times a week,,,,,Yes,No,Yes,Yes,Used a longer route,18-24,Male,,4000.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,1,
2025-05-14 22:14:11,R_43E7CgLc9bbvFhT,Kangaroo Point Bridge,Kangaroo Point Bridge,,,4102.0,4006.0,Personal E-bike  ,Commute related to work,,alone,Few times a week,,,,,Yes,Yes,No,No,Used a car (as passenger),25-29,Female,,4102.0,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,No,Motorcycle licence,0,0,2,
2025-05-14 22:18:22,R_4FJU7Ck3sQZmZHg,Neville Bonner Bridge,Neville Bonner Bridge,,,4270.0,4000.0,,Commute to my workplace,,alone,Few times a week,,,,,No,No,No,No,Used a longer route,45-49,Male,,4270.0,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Motorcycle licence,Other Licence",0,0,1,
