recorded_date,response_id,Bridge,interview_station,gender,travel_mode,travel_mode_other,travel_group,mobility_aid,mobility_aid_other,travelled_before,trip_start_suburb,trip_end_suburb,trip_reason,trip_reason_other,trip_frequency,impact_time,impact_comfort,impact_safety,impact_connectivity,pattern_change_mode,pattern_change_time,pattern_change_freq,pattern_change_places,trip_alternative,age,postcode,education,employment_status,currently_studying,drivers_licence,household_under15,household_15_17,household_18plus,bridge_feedback
12/05/2025 8:03,R_4B9Rf0OnlRoybqa,Breakfast/ Yowoggera Bridge,Newstead landing,Female,Walk ,,with two other persons,No,,,Newstead,Newstead,Fitness/exercise,,Few times a week,,Yes,Yes,,,,,Yes,Used a longer route,30-34,4006,Bachelor Degree,Not currently working for any other reason,No,Car licence,1,0,1,Yes
12/05/2025 8:06,R_4ZWBaU0g46XykCJ,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with two other persons,No,,Yes,Kangaroo point bridge,Kangaroo point bridge,Fitness/exercise,,Daily,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Used a longer route,25-29,4169,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,3,Scenic route
12/05/2025 8:09,R_4CWus71dRtoyIRl,Kangaroo Point Bridge,City landing,Male,Walk ,,alone,No,,Yes,Kangaroo pt,City,Commute to my workplace,,Daily,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Used a longer route,55-59,4169,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,0,
12/05/2025 8:12,R_4Wa4VECd5tG0MW5,Kangaroo Point Bridge,City landing,Female,Walk ,,alone,No,,No,Kangaroo Point,City,Fitness/exercise,,Rarely,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Not travelled,25-29,2902,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,3,
12/05/2025 8:13,R_4ceL2H2EyuhHqix,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,alone,No,,Yes,Customs house,Customs house,Fitness/exercise,,Daily,No,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,Used a longer route,50-54,4000,Postgraduate Degree,"Unpaid caring for a child(ren), an elderly person(s), or an ill or person(s) with a disability",No,Car licence,0,1,3,
12/05/2025 8:16,R_40pydKbHi678ibb,Breakfast/ Yowoggera Bridge,Newstead landing,Male,Walk ,,alone,No,,Yes,Teneriffe,Tenerife/ Hamilton,Fitness/exercise,,Few times a week,No,Yes,Yes,Yes,Yes,Maybe,Yes,No,Used a longer route,65-69,4005,Bachelor Degree,Retired or on an age pension,No,Car licence,0,0,1,He said it’s a great bridge.
12/05/2025 8:17,R_9ERo5ZbQ0Gtiexu,Kangaroo Point Bridge,City landing,Female,Walk ,,alone,No,,Yes,Central station ,Kangaroo point ,Commute related to work,,Few times a month,Maybe,Yes,Maybe,Maybe,Yes,No,No,No,Travelled to someplace else for the same purpose/reason/activity,60-64,4205,Certificate III & IV,Retired or on an age pension,No,Car licence,0,0,2,
12/05/2025 8:20,R_9aA1UZoIkLqhkJz,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,alone,No,,Yes,Kangaroo point,Kangaroo point,Fitness/exercise,,Few times a week,Maybe,Yes,Maybe,Maybe,Yes,Yes,Yes,No,Used a longer route,70-74,4169,Postgraduate Degree,Retired or on an age pension,No,Car licence,0,0,2,
12/05/2025 8:21,R_4U3kc2WGIH4yrCx,Kangaroo Point Bridge,City landing,Female,Walk ,,with one other person,No,,Yes,Carina Heights,Carina Heights,Fitness/exercise,,Few times a week,Maybe,Yes,Maybe,Yes,No,No,No,Yes,Used a longer route,55-59,4152,Years 10/11/12,Retired or on an age pension,No,Car licence,0,0,4,Great addition to the landmarks of Brisbane. Have noticed a significant increase in people accessing the KP area.
12/05/2025 8:26,R_9QfbJgy4cYt9Kin,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with one other person,No,,Yes,Kangaroo point,Kangaroo point,Fitness/exercise,,Few times a month,No,Yes,Yes,Yes,Yes,No,No,Yes,Not travelled,55-59,4169,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,
12/05/2025 8:27,R_9H5AQ4exVhbhuEi,Kangaroo Point Bridge,City landing,Male,Walk ,,with one other person,No,,Yes,Kp ,Brisbane QUT ,Fitness/exercise,,Daily,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Used a longer route,30-34,4169,Postgraduate Degree,Student receiving Youth Allowance/ Stipend,Yes,Car licence,0,0,2,It’s great
12/05/2025 8:30,R_9Cg187139SLRUQN,Breakfast/ Yowoggera Bridge,Newstead landing,Female,Walk ,,alone,No,,Yes,Teneriffe,Ascott,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Yes,No,No,No,No,Used a longer route,50-54,4007,Certificate III & IV,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Other Licence",0,0,1,Safer option for riding a bicycle.
12/05/2025 8:31,R_4jjEz1fmLIrunpD,Kangaroo Point Bridge,City landing,Male,Walk ,,with one other person,No,,Yes,East Brisbane,East Brisbane,Fitness/exercise,,Few times a month,No,Yes,Yes,Maybe,No,No,Yes,No,Used a longer route,60-64,4169,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,No,Car licence,0,0,1,More interesting walk
12/05/2025 8:32,R_9rHqsRWk1qv8uE9,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with one other person,No,,Yes,East brisbane,East brisbane,Fitness/exercise,,Few times a week,No,Yes,Maybe,Yes,Yes,Maybe,No,Yes,Travelled to someplace else for the same purpose/reason/activity,55-59,4169,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Motorcycle licence,Other Licence",0,0,2,Enjoy the bridges and will help connect people. Also very bike friendly 
12/05/2025 8:33,R_9t56tNNfEjXwfgC,Breakfast/ Yowoggera Bridge,Newstead landing,Male,Walk ,,alone,No,,Yes,Teneriffe ,Teneriffe,Fitness/exercise,,Few times a week,Maybe,Yes,Yes,No,No,No,No,No,Used a longer route,65-69,4005,Bachelor Degree,Retired or on an age pension,Yes,Car licence,0,0,1,
12/05/2025 8:33,R_494SkvDWH4rAHLs,Breakfast/ Yowoggera Bridge,Newstead landing,Male,Personal E-bike  ,,with one other person,No,,Yes,Ascott ,Teneriffe,Commute to my workplace,,Few times a week,Yes,Yes,Yes,Yes,Yes,No,No,No,Used a longer route,55-59,4007,Advanced Diploma and Diploma,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Other Licence",0,0,1,Benefitted in terms of having designated bike lanes.
12/05/2025 8:37,R_4s6JIakb2JDTcQX,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,alone,No,,Yes,Kangaroo point,Kangaroo point,To visit a park,,Few times a week,Maybe,Yes,Maybe,Yes,Yes,No,Yes,Yes,Used a shorter route,70-74,4102,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,No,"Car licence,Other Licence",0,0,2,
12/05/2025 8:41,R_4fV39KQ6usFR7id,Kangaroo Point Bridge,City landing,Male,Walk ,,alone,No,,Yes,Kangaroo Point,Kangaroo Point,Fitness/exercise,,Few times a week,No,Yes,Maybe,Maybe,No,Maybe,No,No,Used a longer route,60-64,4064,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,2,2,
12/05/2025 8:46,R_4IxY54qfP4htbP7,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,alone,No,,Yes,Kangaroo point ,Queen st,Commute to my workplace,,Daily,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Used a longer route,25-29,4169,Advanced Diploma and Diploma,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,
12/05/2025 8:46,R_4KZtjPJ8qyVAZJ7,Breakfast/ Yowoggera Bridge,Lores Bonney Riverwalk landing,Female,Walk ,,alone,No,,Yes,Newstead ,Hamilton,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Yes,No,No,No,No,Used a longer route,75-79,4006,Postgraduate Degree,Retired or on an age pension,No,Car licence,0,0,0,The green bridge benefitted the lady enormously as the route before was very long and all the way around. Was dangerous at night time previously to go around. She usually catches ferry and walks on the bridge back. 
12/05/2025 8:48,R_4P23yWmyNC10Tox,Kangaroo Point Bridge,City landing,Male,Walk ,,with one other person,No,,Yes,City,City,Fitness/exercise,,Rarely,No,Yes,Yes,Yes,No,No,No,No,Used a longer route,75-79,6011,Years 10/11/12,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,Good bridge
12/05/2025 8:52,R_9cqI5rGLtSz7uP6,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,alone,No,,Yes,Kangaroo point,Kangaroo point,Fitness/exercise,,Daily,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Travelled to someplace else for the same purpose/reason/activity,65-69,4169,Graduate Diploma and Graduate Certificate,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Other Licence",0,0,2,
12/05/2025 8:56,R_9cilrfeNzmLCYO0,Kangaroo Point Bridge,City landing,Male,Walk ,,alone,No,,Yes,South Bank,South Bank,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Travelled to someplace else for the same purpose/reason/activity,60-64,4101,Postgraduate Degree,Employed (paid work) typically working less than 35 hours a week,No,"Car licence,Motorcycle licence",0,0,2,"Love the bridge. Love that it’s safe because of the seperate lanes. Love the services at the ends of the bridge. 
Physically appealing bridge. "
12/05/2025 9:01,R_4It6qGWiPUkXuXg,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with one other person,No,,Yes,Kangaroo point,Kangaroo point,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Used a longer route,50-54,4151,Graduate Diploma and Graduate Certificate,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,0,3,1,
12/05/2025 9:05,R_40v4ABA8fVu6yUF,Kangaroo Point Bridge,City landing,Female,Walk ,,alone,No,,Yes,Kangaroo Point ,City,Commute to my workplace,,Daily,Yes,Yes,No,No,No,No,No,No,Used a longer route,45-49,4169,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,1,Cut down commute to work
12/05/2025 9:08,R_9FCD1wQ6YyiWKHX,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,with one other person,No,,Yes,Kangaroo point,Kangaroo point,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Maybe,Yes,No,Yes,Yes,Used a longer route,55-59,4169,Years 10/11/12,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,
12/05/2025 9:10,R_4eUV8Bv0r9twzKZ,Kangaroo Point Bridge,City landing,Female,Walk ,,with one other person,Wheelchair,,Yes,City,City,Fitness/exercise,,Few times a month,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Used a car (as a driver),70-74,4564,Graduate Diploma and Graduate Certificate,Retired or on an age pension,No,No licence,0,0,2,Really added to Brisbane. People seem to love the bridge. 
12/05/2025 9:14,R_9nvdLnL9nIV6TSQ,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with one other person,No,,Yes,Kangaroo point,Kngroo point,To go to a restaurant/ eat/drink,,Few times a month,Yes,Yes,Maybe,Yes,Yes,No,Yes,Yes,Travelled to someplace else for the same purpose/reason/activity,30-34,4105,Graduate Diploma and Graduate Certificate,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,
12/05/2025 9:15,R_4Bgv60GZEvj1cAw,Breakfast/ Yowoggera Bridge,Newstead landing,Female,Walk ,,alone,No,,Yes,Newstead,Ascott/ Newstead,Fitness/exercise,,Few times a week,No,Yes,Yes,No,No,No,No,No,Used a longer route,75-79,4006,Years 10/11/12,Retired or on an age pension,No,Car licence,0,0,0,Improved the safety with the separation of the bike lane. 
12/05/2025 9:18,R_49af0kVNZNHw6lj,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with one other person,No,,No,Gardens point ,Gardens point,Fitness/exercise,,Rarely,Maybe,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Travelled to someplace else for the same purpose/reason/activity,40-44,4350,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,1,1,Very pretty
12/05/2025 9:21,R_9VD9rMqBtTcYDBQ,Kangaroo Point Bridge,City landing,Female,Walk ,,with one other person,No,,Yes,Kangaroo point ,Kangaroo point,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,Yes,Used a ferry,55-59,4169,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,2,Love it. 
12/05/2025 9:22,R_9hS98lVinvLahMO,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,alone,No,,Yes,Southbank,Southbank,Fitness/exercise,,Few times a week,Maybe,Yes,Yes,Yes,No,No,Maybe,No,Travelled to someplace else for the same purpose/reason/activity,65-69,4074,Years 10/11/12,Employed (paid work) typically working 35 hours or more in a week,No,No licence,0,0,1,
12/05/2025 9:25,R_4opaM4q0LoXnYsx,Kangaroo Point Bridge,Kangaroo point landing,Male,"Shared E-bike (for example, Neuron)",,with one other person,No,,Yes,Mowbray park,Mowbray park,To experience the bridge,,Rarely,Maybe,Yes,No,Yes,Yes,No,No,Yes,Used a ferry,30-34,4152,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,4,
12/05/2025 9:27,R_47PCexcEWloatH3,Kangaroo Point Bridge,City landing,Female,Walk ,,with one other person,No,,No,Brisbane City,Brisbane City,Fitness/exercise,,Daily,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Used a ferry,60-64,4000,Years 10/11/12,Retired or on an age pension,No,Car licence,0,0,2,Service lift at KP side of bridge is always dirty. 
12/05/2025 9:31,R_4tL1G4yp5ISuIPm,Breakfast/ Yowoggera Bridge,Newstead landing,Female,Walk ,,with two other persons,No,,,Port side,,Fitness/exercise,,Few times a month,Yes,Yes,Yes,,No,No,No,Maybe,Used a longer route,60-64,,Bachelor Degree,Retired or on an age pension,No,Car licence,0,0,1,
12/05/2025 9:33,R_9S4UwmT9A8b0cKd,Breakfast/ Yowoggera Bridge,Lores Bonney Riverwalk landing,Female,Walk ,,alone,No,,Yes,Portside,Portside,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Yes,Used a car (as a driver),60-64,4005,Advanced Diploma and Diploma,Retired or on an age pension,No,Car licence,0,0,1,Increased safety
12/05/2025 9:34,R_9A8sj91Lfsjph0B,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,alone,No,,Yes,Kangaroo point,Kangaroo point,Fitness/exercise,,Daily,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Used a longer route,60-64,4169,Postgraduate Degree,Retired or on an age pension,Yes,Car licence,0,0,2,
12/05/2025 9:35,R_4XgidL4TmB1lvyU,Kangaroo Point Bridge,City landing,Male,Walk ,,with more than two persons,No,,No,City,City,To visit a park,,Rarely,Yes,Yes,Yes,Maybe,No,No,No,No,Used a ferry,40-44,4000,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,2,0,1,Very clean and convenient. Good safety with clear markings
12/05/2025 9:38,R_4GvLNXH6DrO5tlf,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with one other person,No,,No,Mary st,Mary st,Fitness/exercise,,Rarely,Yes,Yes,Yes,Yes,No,No,No,No,Travelled to someplace else for the same purpose/reason/activity,25-29,3193,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,Yes,Car licence,0,0,5,
12/05/2025 9:40,R_4LGzgl1y8ZyBKh5,Kangaroo Point Bridge,City landing,Female,Walk ,,with one other person,No,,No,Brisbane City,Brisbane City,To experience the bridge,,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not travelled,50-54,3984,Prefer not to answer,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,It’s a great piece if infrastructure that should be promoted more interstate. 
12/05/2025 9:42,R_4QJhLNz4UUzI2Xh,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with one other person,No,,Yes,City,City,To experience the bridge,,Rarely,Maybe,Yes,Yes,No,No,No,No,Yes,Not travelled,55-59,4520,Graduate Diploma and Graduate Certificate,Retired or on an age pension,No,"Car licence,Other Licence",0,0,2,
12/05/2025 9:43,R_9aIBTOZfNm7NxdC,Breakfast/ Yowoggera Bridge,Newstead landing,Male,Walk ,,alone,No,,Yes,Newstead,Newstead ,Fitness/exercise,,Few times a week,No,Yes,Yes,,No,No,,No,Used a longer route,75-79,,Postgraduate Degree,Retired or on an age pension,No,Car licence,0,0,1,
12/05/2025 9:47,R_9B1D6x7f0FGJnzz,Breakfast/ Yowoggera Bridge,Lores Bonney Riverwalk landing,Female, Pushbike  ,,with two other persons,No,,Yes,Portside,Portside,Fitness/exercise,,Daily,No,Yes,Yes,Yes,No,No,Yes,No,Used a longer route,65-69,4007,Bachelor Degree,Retired or on an age pension,No,Car licence,0,0,1,
12/05/2025 11:00,R_9XOMYarYGY2U0hj,Breakfast/ Yowoggera Bridge,Newstead landing,Female,Walk ,,alone,No,,Yes,Paddington,Newstead,Commute to my workplace,,Daily,Yes,Yes,Yes,Maybe,No,No,Yes,Yes,Used a longer route,18-24,4064,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,No,Car licence,0,0,2,The bridge made getting to work easier and quicker
12/05/2025 12:30,R_92G1A8rotuuXSFf,Kangaroo Point Bridge,City landing,Female,Walk ,,alone,No,,Yes,Kangaroo Point,Brisbane city,Commute to my workplace,,Few times a week,Yes,Yes,Yes,Yes,Yes,No,No,No,Used a bus,18-24,4011,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,3,
12/05/2025 12:48,R_9WPfO1MhX83GxWo,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,alone,No,,Yes,Hawthorne,City,Commute to my workplace,,Few times a month,Maybe,Yes,Maybe,No,Yes,No,No,Yes,"Used Taxi/RideShare (Uber, Didi, etc)",18-24,4171,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,4,Easier to get to the city from south side
12/05/2025 14:57,R_9MyvJaSxDe9R2Wq,Breakfast/ Yowoggera Bridge,Newstead landing,Male,Walk ,,alone,No,,No,Hamilton,Tenerifee,Fitness/exercise,,Daily,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,Travelled to someplace else for the same purpose/reason/activity,70-74,4007,Years 10/11/12,Retired or on an age pension,No,Car licence,1,0,0,
12/05/2025 15:07,R_4BQpsDtfWCthRhc,Kangaroo Point Bridge,City landing,Male,Walk ,,alone,No,,Yes,Brisbane City,Kangaroo Point,Commute to study,,Few times a week,Yes,Yes,Yes,No,No,No,Yes,Yes,Used a ferry,25-29,4121,Years 10/11/12,"Student receiving Youth Allowance/ Stipend,Not currently working due to short-term illness or injury",Yes,"Car licence,Motorcycle licence",0,0,1,Has made it easier to access Kangaroo Point from botanical gardens compared to needing to get on a ferry or walk a lot longer around to Goodwill bridge
12/05/2025 15:08,R_4f40wE7Ra3HI11y,Breakfast/ Yowoggera Bridge,Newstead landing,Female,Walk ,,alone,No,,No,Newstead, Newstead,Commute to my workplace,,Daily,Yes,Yes,Yes,No,No,No,No,Yes,Used a longer route,18-24,4006,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,No,Car licence,0,0,4,
12/05/2025 15:14,R_4CqhXDg6OnQjnSV,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,alone,No,,Yes,Doc side apartment,Doc side apartment,To go to a restaurant/ eat/drink,,Few times a week,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Used a longer route,70-74,4169,Postgraduate Degree,Retired or on an age pension,No,Car licence,0,0,2,
12/05/2025 15:16,R_90OLiDEEDUzECgR,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,alone,No,,Yes,South Brisbane,South Brisbane,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Yes,No,No,Yes,No,Used a longer route,55-59,4101,Advanced Diploma and Diploma,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,
12/05/2025 15:19,R_4eLcaGVzpvBhQYH,Breakfast/ Yowoggera Bridge,Lores Bonney Riverwalk landing,Female,Walk ,,alone,No,,No,Newstead,Newstead,Fitness/exercise,,Rarely,Maybe,Yes,Yes,Yes,Yes,No,Maybe,Yes,Travelled to someplace else for the same purpose/reason/activity,18-24,4060,Bachelor Degree,"Employed (paid work) typically working less than 35 hours a week,Student receiving Youth Allowance/ Stipend",Yes,Car licence,0,0,4,It’s provides a great route for running along the river
12/05/2025 15:20,R_4czHOMSGfM8Z8Rn,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,alone,No,,No,Mango Hill,Fortitude Valley,To experience the bridge,,Rarely,Yes,Yes,Yes,Yes,No,No,No,Yes,Used a longer route,18-24,4509,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,1,0,4,
12/05/2025 15:22,R_4QfJjhvpiMK4Pu0,Kangaroo Point Bridge,Kangaroo point landing,Male,Personal E-scooter   ,,alone,No,,Yes,Kangaroo point,Kangaroo point,To experience the bridge,,Rarely,Yes,Yes,Yes,Yes,No,No,No,Yes,Travelled to someplace else for the same purpose/reason/activity,65-69,2125,Advanced Diploma and Diploma,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,3,
12/05/2025 15:25,R_9C1MUJwDg63X1ba,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,alone,No,,Yes,Highgate hill,Highgate,Fitness/exercise,,Few times a week,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Used a longer route,65-69,4101,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,
12/05/2025 15:29,R_9EvqLFIQiSnhhb0,Kangaroo Point Bridge,Kangaroo point landing,Female,Walk ,,with two other persons,No,,,Kangaroo point,Kangaroo point,Fitness/exercise,,On most weekends,Maybe,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Used a longer route,18-24,,Postgraduate Degree,Employed (paid work) typically working less than 35 hours a week,No,Car licence,0,0,2,
12/05/2025 15:30,R_4EAmZoQzttMgzOB,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,alone,No,,Yes,Ann st,Ann st,Fitness/exercise,,Rarely,Maybe,Yes,Yes,Yes,No,No,Yes,,Used a longer route,45-49,4655,Certificate III & IV,Employed (paid work) typically working 35 hours or more in a week,Yes,"Car licence,Other Licence",0,1,2,
12/05/2025 15:35,R_4F55kEczAZE35m8,Kangaroo Point Bridge,Kangaroo point landing,Male,Walk ,,with more than two persons,No,,Yes,Kangaroo point,Kngroo point,To experience the bridge,,Few times a month,Yes,Yes,Yes,Maybe,Yes,No,Yes,Yes,Used a car (as a driver),65-69,4171,Postgraduate Degree,Retired or on an age pension,No,Car licence,0,0,2,Liked
