id,alt,chosen,TT,TC
215,2,0,27,6
215,3,0,31,5
216,1,0,23,6
216,2,0,27,5
216,3,1,35,3
217,1,1,35,3
217,2,0,31,5
217,3,0,23,6
218,1,0,27,5
218,2,0,23,6
218,3,1,31,3
219,1,1,35,3
219,2,0,31,4
219,3,0,27,6
220,1,0,23,6
220,2,0,27,4
220,3,1,31,3
221,1,1,23,6
221,2,0,27,4
221,3,0,35,3
222,1,1,27,5
222,2,0,35,4
222,3,0,23,6
223,1,0,35,3
223,2,1,23,5
223,3,0,31,4
224,1,0,27,4
224,2,1,23,5
224,3,0,35,3
225,1,0,35,3
225,2,0,27,6
225,3,1,31,5
226,1,0,23,6
226,2,1,27,5
226,3,0,35,3
227,1,0,35,3
227,2,1,31,5
227,3,0,23,6
228,1,1,27,5
228,2,0,23,6
228,3,0,31,3
229,1,0,35,3
229,2,1,31,4
229,3,0,27,6
230,1,0,23,6
230,2,1,27,4
230,3,0,31,3
231,1,0,23,6
231,2,1,27,4
231,3,0,35,3
232,1,0,27,5
232,2,0,35,4
232,3,1,23,6
233,1,0,35,3
233,2,1,23,5
233,3,0,31,4
234,1,0,27,4
234,2,1,23,5
234,3,0,35,3
235,1,0,35,3
235,2,1,27,6
235,3,0,31,5
236,1,1,23,6
236,2,0,27,5
236,3,0,35,3
237,1,0,35,3
237,2,0,31,5
237,3,1,23,6
238,1,0,27,5
238,2,0,23,6
238,3,1,31,3
239,1,0,35,3
239,2,1,31,4
239,3,0,27,6
240,1,0,23,6
240,2,1,27,4
240,3,0,31,3
241,1,1,23,6
241,2,0,27,4
241,3,0,35,3
242,1,0,27,5
242,2,0,35,4
242,3,1,23,6
243,1,0,35,3
243,2,1,23,5
243,3,0,31,4
244,1,0,27,4
244,2,1,23,5
244,3,0,35,3
245,1,0,35,3
245,2,1,27,6
245,3,0,31,5
246,1,1,23,6
246,2,0,27,5
246,3,0,35,3
247,1,0,35,3
247,2,0,31,5
247,3,1,23,6
248,1,0,27,5
248,2,1,23,6
248,3,0,31,3
249,1,0,35,3
249,2,1,31,4
249,3,0,27,6
250,1,0,23,6
250,2,0,27,4
250,3,1,31,3
251,1,0,23,6
251,2,1,27,4
251,3,0,35,3
252,1,1,27,5
252,2,0,35,4
252,3,0,23,6
253,1,0,35,3
253,2,0,23,5
253,3,1,31,4
254,1,1,27,4
254,2,0,23,5
254,3,0,35,3
255,1,0,35,3
255,2,0,27,6
255,3,1,31,5
256,1,0,23,6
256,2,1,27,5
256,3,0,35,3
257,1,0,35,3
257,2,1,31,5
257,3,0,23,6
258,1,1,27,5
258,2,0,23,6
258,3,0,31,3
259,1,0,35,3
259,2,1,31,4
259,3,0,27,6
260,1,0,23,6
260,2,1,27,4
260,3,0,31,3
261,1,0,23,6
261,2,1,27,4
261,3,0,35,3
262,1,1,27,5
262,2,0,35,4
262,3,0,23,6
263,1,1,35,3
263,2,0,23,5
263,3,0,31,4
264,1,0,27,4
264,2,0,23,5
264,3,1,35,3
265,1,1,35,3
265,2,0,27,6
265,3,0,31,5
266,1,0,23,6
266,2,0,27,5
266,3,1,35,3
267,1,1,35,3
267,2,0,31,5
267,3,0,23,6
268,1,0,27,5
268,2,0,23,6
268,3,1,31,3
269,1,1,35,3
269,2,0,31,4
269,3,0,27,6
270,1,0,23,6
270,2,0,27,4
270,3,1,31,3
271,1,1,23,6
271,2,0,27,4
271,3,0,35,3
272,1,0,27,5
272,2,0,35,4
272,3,1,23,6
273,1,0,35,3
273,2,1,23,5
273,3,0,31,4
274,1,0,27,4
274,2,1,23,5
274,3,0,35,3
275,1,0,35,3
275,2,1,27,6
275,3,0,31,5
276,1,1,23,6
276,2,0,27,5
276,3,0,35,3
277,1,0,35,3
277,2,0,31,5
277,3,1,23,6
278,1,0,27,5
278,2,1,23,6
278,3,0,31,3
279,1,0,35,3
279,2,0,31,4
279,3,1,27,6
280,1,1,23,6
280,2,0,27,4
280,3,0,31,3
281,1,1,23,6
281,2,0,27,4
281,3,0,35,3
282,1,0,27,5
282,2,0,35,4
282,3,1,23,6
283,1,0,35,3
283,2,1,23,5
283,3,0,31,4
284,1,0,27,4
284,2,1,23,5
284,3,0,35,3
285,1,0,35,3
285,2,1,27,6
285,3,0,31,5
286,1,1,23,6
286,2,0,27,5
286,3,0,35,3
287,1,0,35,3
287,2,0,31,5
287,3,1,23,6
288,1,0,27,5
288,2,1,23,6
288,3,0,31,3
289,1,0,35,3
289,2,0,31,4
289,3,1,27,6
290,1,1,23,6
290,2,0,27,4
290,3,0,31,3
291,1,1,23,6
291,2,0,27,4
291,3,0,35,3
292,1,0,27,5
292,2,0,35,4
292,3,1,23,6
293,1,0,35,3
293,2,1,23,5
293,3,0,31,4
294,1,1,27,4
294,2,0,23,5
294,3,0,35,3
295,1,0,35,3
295,2,1,27,6
295,3,0,31,5
296,1,1,23,6
296,2,0,27,5
296,3,0,35,3
297,1,0,35,3
297,2,0,31,5
297,3,1,23,6
298,1,0,27,5
298,2,1,23,6
298,3,0,31,3
299,1,0,35,3
299,2,0,31,4
299,3,1,27,6
300,1,1,23,6
300,2,0,27,4
300,3,0,31,3
301,1,0,23,6
301,2,1,27,4
301,3,0,35,3
302,1,1,27,5
302,2,0,35,4
302,3,0,23,6
303,1,0,35,3
303,2,0,23,5
303,3,1,31,4
304,1,1,27,4
304,2,0,23,5
304,3,0,35,3
305,1,0,35,3
305,2,1,27,6
305,3,0,31,5
306,1,0,23,6
306,2,1,27,5
306,3,0,35,3
307,1,0,35,3
307,2,0,31,5
307,3,1,23,6
308,1,1,27,5
308,2,0,23,6
308,3,0,31,3
309,1,0,35,3
309,2,0,31,4
309,3,1,27,6
310,1,0,23,6
310,2,1,27,4
310,3,0,31,3
311,1,0,23,6
311,2,0,27,4
311,3,1,35,3
312,1,0,27,5
312,2,1,35,4
312,3,0,23,6
313,1,1,35,3
313,2,0,23,5
313,3,0,31,4
314,1,0,27,4
314,2,0,23,5
314,3,1,35,3
315,1,1,35,3
315,2,0,27,6
315,3,0,31,5
316,1,0,23,6
316,2,0,27,5
316,3,1,35,3
317,1,1,35,3
317,2,0,31,5
317,3,0,23,6
318,1,0,27,5
318,2,0,23,6
318,3,1,31,3
319,1,1,35,3
319,2,0,31,4
319,3,0,27,6
320,1,0,23,6
320,2,0,27,4
320,3,1,31,3
321,1,0,23,6
321,2,1,27,4
321,3,0,35,3
322,1,1,27,5
322,2,0,35,4
322,3,0,23,6
323,1,0,35,3
323,2,1,23,5
323,3,0,31,4
324,1,1,27,4
324,2,0,23,5
324,3,0,35,3
325,1,1,35,3
325,2,0,27,6
325,3,0,31,5
326,1,0,23,6
326,2,1,27,5
326,3,0,35,3
327,1,0,35,3
327,2,1,31,5
327,3,0,23,6
328,1,1,27,5
328,2,0,23,6
328,3,0,31,3
329,1,0,35,3
329,2,1,31,4
329,3,0,27,6
330,1,0,23,6
330,2,1,27,4
330,3,0,31,3
331,1,0,23,6
331,2,1,27,4
331,3,0,35,3
332,1,0,27,5
332,2,0,35,4
332,3,1,23,6
333,1,0,35,3
333,2,1,23,5
333,3,0,31,4
334,1,0,27,4
334,2,1,23,5
334,3,0,35,3
335,1,0,35,3
335,2,1,27,6
335,3,0,31,5
336,1,1,23,6
336,2,0,27,5
336,3,0,35,3
337,1,0,35,3
337,2,0,31,5
337,3,1,23,6
338,1,0,27,5
338,2,1,23,6
338,3,0,31,3
339,1,0,35,3
339,2,1,31,4
339,3,0,27,6
340,1,0,23,6
340,2,1,27,4
340,3,0,31,3
341,1,0,23,6
341,2,1,27,4
341,3,0,35,3
342,1,0,27,5
342,2,0,35,4
342,3,1,23,6
343,1,0,35,3
343,2,1,23,5
343,3,0,31,4
344,1,1,27,4
344,2,0,23,5
344,3,0,35,3
345,1,1,35,3
345,2,0,27,6
345,3,0,31,5
346,1,0,23,6
346,2,0,27,5
346,3,1,35,3
347,1,0,35,3
347,2,0,31,5
347,3,1,23,6
348,1,0,27,5
348,2,0,23,6
348,3,1,31,3
349,1,0,35,3
349,2,1,31,4
349,3,0,27,6
350,1,0,23,6
350,2,0,27,4
350,3,1,31,3
351,1,0,23,6
351,2,1,27,4
351,3,0,35,3
352,1,1,27,5
352,2,0,35,4
352,3,0,23,6
353,1,0,35,3
353,2,1,23,5
353,3,0,31,4
354,1,1,27,4
354,2,0,23,5
354,3,0,35,3
355,1,1,35,3
355,2,0,27,6
355,3,0,31,5
356,1,0,23,6
356,2,1,27,5
356,3,0,35,3
357,1,1,35,3
357,2,0,31,5
357,3,0,23,6
358,1,1,27,5
358,2,0,23,6
358,3,0,31,3
359,1,0,35,3
359,2,1,31,4
359,3,0,27,6
360,1,0,23,6
360,2,1,27,4
360,3,0,31,3
361,1,0,23,6
361,2,1,27,4
361,3,0,35,3
362,1,0,27,5
362,2,0,35,4
362,3,1,23,6
363,1,0,35,3
363,2,0,23,5
363,3,1,31,4
364,1,1,27,4
364,2,0,23,5
364,3,0,35,3
365,1,0,35,3
365,2,1,27,6
365,3,0,31,5
366,1,0,23,6
366,2,1,27,5
366,3,0,35,3
367,1,0,35,3
367,2,0,31,5
367,3,1,23,6
368,1,1,27,5
368,2,0,23,6
368,3,0,31,3
369,1,0,35,3
369,2,1,31,4
369,3,0,27,6
370,1,0,23,6
370,2,1,27,4
370,3,0,31,3
371,1,1,23,6
371,2,0,27,4
371,3,0,35,3
372,1,0,27,5
372,2,0,35,4
372,3,1,23,6
373,1,0,35,3
373,2,1,23,5
373,3,0,31,4
374,1,0,27,4
374,2,1,23,5
374,3,0,35,3
375,1,0,35,3
375,2,1,27,6
375,3,0,31,5
376,1,1,23,6
376,2,0,27,5
376,3,0,35,3
377,1,0,35,3
377,2,0,31,5
377,3,1,23,6
378,1,0,27,5
378,2,1,23,6
378,3,0,31,3
379,1,0,35,3
379,2,0,31,4
379,3,1,27,6
380,1,1,23,6
380,2,0,27,4
380,3,0,31,3
381,1,0,23,6
381,2,1,27,4
381,3,0,35,3
382,1,0,27,5
382,2,1,35,4
382,3,0,23,6
383,1,0,35,3
383,2,0,23,5
383,3,1,31,4
384,1,0,27,4
384,2,0,23,5
384,3,1,35,3
385,1,1,35,3
385,2,0,27,6
385,3,0,31,5
386,1,0,23,6
386,2,0,27,5
386,3,1,35,3
387,1,1,35,3
387,2,0,31,5
387,3,0,23,6
388,1,0,27,5
388,2,0,23,6
388,3,1,31,3
389,1,1,35,3
389,2,0,31,4
389,3,0,27,6
390,1,0,23,6
390,2,0,27,4
390,3,1,31,3
391,1,0,23,6
391,2,1,27,4
391,3,0,35,3
392,1,1,27,5
392,2,0,35,4
392,3,0,23,6
393,1,0,35,3
393,2,1,23,5
393,3,0,31,4
394,1,0,27,4
394,2,1,23,5
394,3,0,35,3
395,1,0,35,3
395,2,0,27,6
395,3,1,31,5
396,1,0,23,6
396,2,1,27,5
396,3,0,35,3
397,1,0,35,3
397,2,1,31,5
397,3,0,23,6
398,1,1,27,5
398,2,0,23,6
398,3,0,31,3
399,1,0,35,3
399,2,1,31,4
399,3,0,27,6
400,1,0,23,6
400,2,1,27,4
400,3,0,31,3
401,1,0,23,6
401,2,1,27,4
401,3,0,35,3
402,1,1,27,5
402,2,0,35,4
402,3,0,23,6
403,1,1,35,3
403,2,0,23,5
403,3,0,31,4
404,1,1,27,4
404,2,0,23,5
404,3,0,35,3
405,1,1,35,3
405,2,0,27,6
405,3,0,31,5
406,1,0,23,6
406,2,1,27,5
406,3,0,35,3
407,1,0,35,3
407,2,1,31,5
407,3,0,23,6
408,1,1,27,5
408,2,0,23,6
408,3,0,31,3
409,1,1,35,3
409,2,0,31,4
409,3,0,27,6
410,1,0,23,6
410,2,1,27,4
410,3,0,31,3
411,1,0,23,6
411,2,1,27,4
411,3,0,35,3
412,1,1,27,5
412,2,0,35,4
412,3,0,23,6
413,1,0,35,3
413,2,1,23,5
413,3,0,31,4
414,1,1,27,4
414,2,0,23,5
414,3,0,35,3
415,1,0,35,3
415,2,1,27,6
415,3,0,31,5
416,1,0,23,6
416,2,1,27,5
416,3,0,35,3
417,1,0,35,3
417,2,1,31,5
417,3,0,23,6
418,1,1,27,5
418,2,0,23,6
418,3,0,31,3
419,1,0,35,3
419,2,1,31,4
419,3,0,27,6
420,1,0,23,6
420,2,1,27,4
420,3,0,31,3
421,1,0,23,6
421,2,1,27,4
421,3,0,35,3
422,1,1,27,5
422,2,0,35,4
422,3,0,23,6
423,1,0,35,3
423,2,1,23,5
423,3,0,31,4
424,1,1,27,4
424,2,0,23,5
424,3,0,35,3
425,1,1,35,3
425,2,0,27,6
425,3,0,31,5
426,1,0,23,6
426,2,1,27,5
426,3,0,35,3
427,1,1,35,3
427,2,0,31,5
427,3,0,23,6
428,1,1,27,5
428,2,0,23,6
428,3,0,31,3
429,1,0,35,3
429,2,1,31,4
429,3,0,27,6
430,1,0,23,6
430,2,0,27,4
430,3,1,31,3
431,1,0,23,6
431,2,0,27,4
431,3,1,35,3
432,1,0,27,5
432,2,1,35,4
432,3,0,23,6
433,1,1,35,3
433,2,0,23,5
433,3,0,31,4
434,1,0,27,4
434,2,0,23,5
434,3,1,35,3
435,1,1,35,3
435,2,0,27,6
435,3,0,31,5
436,1,0,23,6
436,2,0,27,5
436,3,1,35,3
437,1,1,35,3
437,2,0,31,5
437,3,0,23,6
438,1,0,27,5
438,2,0,23,6
438,3,1,31,3
439,1,1,35,3
439,2,0,31,4
439,3,0,27,6
440,1,0,23,6
440,2,0,27,4
440,3,1,31,3
441,1,0,23,6
441,2,1,27,4
441,3,0,35,3
442,1,0,27,5
442,2,0,35,4
442,3,1,23,6
443,1,0,35,3
443,2,1,23,5
443,3,0,31,4
444,1,0,27,4
444,2,1,23,5
444,3,0,35,3
445,1,0,35,3
445,2,1,27,6
445,3,0,31,5
446,1,0,23,6
446,2,1,27,5
446,3,0,35,3
447,1,0,35,3
447,2,0,31,5
447,3,1,23,6
448,1,0,27,5
448,2,1,23,6
448,3,0,31,3
449,1,1,35,3
449,2,0,31,4
449,3,0,27,6
450,1,0,23,6
450,2,1,27,4
450,3,0,31,3
451,1,0,23,6
451,2,1,27,4
451,3,0,35,3
452,1,0,27,5
452,2,1,35,4
452,3,0,23,6
453,1,0,35,3
453,2,1,23,5
453,3,0,31,4
454,1,1,27,4
454,2,0,23,5
454,3,0,35,3
455,1,1,35,3
455,2,0,27,6
455,3,0,31,5
456,1,0,23,6
456,2,1,27,5
456,3,0,35,3
457,1,0,35,3
457,2,1,31,5
457,3,0,23,6
458,1,0,27,5
458,2,0,23,6
458,3,1,31,3
459,1,0,35,3
459,2,1,31,4
459,3,0,27,6
460,1,0,23,6
460,2,1,27,4
460,3,0,31,3
461,1,1,23,6
461,2,0,27,4
461,3,0,35,3
462,1,0,27,5
462,2,0,35,4
462,3,1,23,6
463,1,0,35,3
463,2,1,23,5
463,3,0,31,4
464,1,0,27,4
464,2,1,23,5
464,3,0,35,3
465,1,0,35,3
465,2,0,27,6
465,3,1,31,5
466,1,1,23,6
466,2,0,27,5
